,id,label_en
81004,Q88904,The wise and Kabbalist Rabbi Yitzhak Sagi Nehor the father of Kabbalah
81008,Q88908,Rabbi David
81018,Q88918,Rabbi Yosef Halevi Benvenisti
81036,Q88936,Shlomo ben Ramban
81038,Q88938,Nahman ben Ramban
81040,Q88940,Yosef ben Ramban
81042,Q88942,Yehuda ben Ramban
81064,Q88964,Nasi Nas Bonastrug Astrug ַa Porta SALTELL
81123,Q89023,Moshe ben Yitzhak Halevi the Yirchi
81125,Q89025,Rabbi Asher
81135,Q89035,Rabbeinu Pinchas Halevi
81141,Q89041,Rabbeinu Aharon Halevi the Seer
81157,Q89057,Yona ben Shlomo
81261,Q89161,Yitzhak Halevi of Narbonne
81263,Q89163,Yehoshua Halevi
81285,Q89185,Shlomo
81367,Q89267,Yitzhak ben Yekutiel Abarbanel
81379,Q89279,Clarice de Lunel daughter of Abba Marie Yirchi
81395,Q89295,R. Moshe Halevi Halevi
81397,Q89297,Yosef Halevi
81401,Q89301,Benvenishti
81413,Q89313,Yona
81415,Q89315,Shimon
81523,Q89423,Gedalia
81565,Q89465,Yosef Halevi
81567,Q89467,Benvenishti Horowitz
81569,Q89469,Yosef Halevi
81571,Q89471,Aharon (Rev.)
81573,Q89473,Pinchas
81581,Q89481,Shlomo Dismishtri
81583,Q89483,Shlomo
81612,Q89512,Tereza of Cartagena
81755,Q89655,David
81791,Q89691,Benbenishti Ben Yosef Halevi
81793,Q89693,Asher Zalman
81795,Q89695,Unknown Sheportsch
81797,Q89697,Tzemach
82017,Q89917,David Atruk HaCohen de l'Estoile
82035,Q89935,Shlomo
82247,Q90147,David
82265,Q90165,Malech Shem Tov Stern
82299,Q90199,Shmuel Mix President
82780,Q90680,The Priest Rafa
82784,Q90684,The Priest Rafa
82786,Q90686,The Priest Rafa
82788,Q90688,The Daughter of Hananiah
82798,Q90698,The Priest Rafa
82800,Q90700,The Priest Rafa
82808,Q90708,Hanania
82819,Q90719,The Priest Rafa
82839,Q90739,The Priest Rafa
82873,Q90773,The Priest Rafa
82891,Q90791,The Priest Rafa
82907,Q90807,The Priest Rafa
82927,Q90827,Hacohen Rafa
82943,Q90843,Yosef D'u Nuas
82953,Q90853,Hacohen Rafa
82967,Q90867,Hasdai ben Yitzhak ben Ezra Ibn Shaprut
82975,Q90875,Shmuel ben Hafni Hacohen
82981,Q90881,Hacohen Rafa
82994,Q90894,Rabeina II Sof hora'a Rav Rav Huna Avina (Rab Avina bar Rav Huna)
83024,Q90924,Hacohen Rafa
83048,Q90948,Hacohen Rafa
83058,Q90958,Rami bar Hama
83090,Q90990,Hacohen Rafa
83096,Q90996,Huna ben Nahum
83100,Q91000,Oya
83128,Q91028,Hakan Rafa
83130,Q91030,Enan
83134,Q91034,R. Yochanan
83136,Q91036,Nathan ben Ahijah
83165,Q91065,Hordeshamelek
83168,Q91068,Hakan Rafa
83170,Q91070,Haiya
83174,Q91074,Nahum
83178,Q91078,Shaft
83218,Q91118,Hakan Rafa
83220,Q91120,Huna
83226,Q91126,David
83230,Q91130,Rabbi Anan
83268,Q91168,Ha-Kohen Rafa
83270,Q91170,Natan Rettouzita
83276,Q91176,Rava bar Avo
83304,Q91204,Rabbi Yitzhak Halevi
83358,Q91258,Ha-Kohen Rafa
83363,Q91263,Yohanan Hyrcanus II King of Judah and High Priest
83368,Q91268,Rabbi Huna
83380,Q91280,Ha-Kelevi
83398,Q91298,Ha-Kohen Rafa
83400,Q91300,Rabbi Nathan
83406,Q91306,R. David
83414,Q91314,Clara Halevi
83432,Q91332,HaKohen Rafa
83437,Q91337,Absalom ben Yochanan Hyrcanus Prince of Judea
83458,Q91358,HaKohen Rafa
83505,Q91405,Second wife of Yochanan Hyrcanus I Hasmonean
83507,Q91407,Yochanan Hyrcanus I Hasmonean King of Judah and High Priest
83524,Q91424,HaKohen Rafa
83540,Q91440,HaLevi
83555,Q91455,Shimon HaTarsee Hasmonean Prince and High Priest of Judea
83557,Q91457,Rabbi Yosei Bar Yochanan
83593,Q91493,Hashomoni mother of Maccabean brothers
83595,Q91495,Mattathiahu Hashomoni
83631,Q91531,Holofarnes
83634,Q91534,Hacohen Rafa
83646,Q91546,Clara
83800,Q91700,Halevy Abulafia
83806,Q91706,Hacohen Rafa
83821,Q91721,ClaraHaLevi
83823,Q91723,Yosef Sheshportsch
84052,Q91952,HaKohen Rafa
84054,Q91954,Granddaughter of Gamliel I the Elder
84068,Q91968,Tzemach
84070,Q91970,Shmuel Nasi
84088,Q91988,Yaakov HaLevi Weil
84350,Q92250,Shimon II ben Gamliel the Elder
84354,Q92254,Shimon ben Nathaniel HaKohen
84374,Q92274,Francisco Mendes Benvenisti Nasi
84414,Q92314,Bona (Dina) Katzenleboigen
84416,Q92316,Wife of Ephraim Naftali Weil
84749,Q92649,Yoida
84751,Q92651,Yohanan
84753,Q92653,Gamliel II
84757,Q92657,Yohanan the Shoemaker
84895,Q92795,Parens Hador Hakatzin Gaon Rabbi Ephraim Naftali Hirsch Heshil AvDin Konstantinov
84897,Q92797,Yaakov Ashkenazi
84901,Q92801,The Great Rabbi M. Eliezer R. Lizer Ladmarir
84903,Q92803,Heshil
85325,Q93225,Yohanan
85327,Q93227,Rabbi Gamliel II of Yavne
85329,Q93229,Shimon III ben Gamliel The Second
85331,Q93231,Yohanan the Sandaler
85333,Q93233,Chanania ben Gamliel the Second
85335,Q93235,Yehuda ben Gamliel
85337,Q93237,Eleazar ben Hyrcanus
85339,Q93239,Yehoshua Zimri from the Land of Israel
85553,Q93453,Deborah Wahl - Katzenlenbogen
85555,Q93455,The Holy Gaon Rabbi Avraham Yehoshua Heshil R.M. and AvD. of Lublin and K.K. of Krakow
85563,Q93463,The Great Rabbi R. Yitzhak
85565,Q93465,Meizlesh
85828,Q93728,Hashabah
85836,Q93736,Abihud
85958,Q93858,Yiduo
85972,Q93872,Shebna my brother Hillel the Elder
85974,Q93874,Nathaniel Hacohen
85976,Q93876,Yehuda ben Shimon III
85978,Q93878,Wife of Rabbi Yochanan the Shoemaker
85980,Q93880,Son of Yochanan the Shoemaker according to tradition 22 generations to Joshua Zimri the ancestor of Rashi
85984,Q93884,Gamliel III ben Yehuda the Prince
85988,Q93888,Daughter of Rabbi Yehuda President
85993,Q93893,Yehuda II ben Gamaliel III
86003,Q93903,Gamaliel IV ben Yehuda II
86019,Q93919,Yehuda III ben Gamaliel IV
86031,Q93931,Hillel II ben Yehuda III
86033,Q93933,Gamaliel V ben Yehuda III
86053,Q93953,Yehuda IV ben Gamaliel V
86146,Q94046,Gamaliel VI
86150,Q94050,The priest Rapha
86152,Q94052,The priest Rapha
86154,Q94054,The priest Rapha
86371,Q94271,The priest Rapha
86373,Q94273,The priest Rafa
86603,Q94503,Ha-Kohen Rafa
86605,Q94505,Elazar ben Klir
89033,Q96933,Neferibre Psamtek Psammetichus Last King of Judah
89788,Q97688,Yaakov ben Yosef Cohen Tzedek
90310,Q98210,Zutra Ha-Hasid Ben Kahana Head of the 25th Exile Rabina the First
90427,Q98327,Hopni Yosef ben Yaakov Ha-Kohen
90453,Q98353,Bat Gamliel the First Elder Ninat Hillel the Elder
90465,Q98365,Gamliel the Elder Ben Shimon the President President of the Sanhedrin
90477,Q98377,Shimon ben Hillel the President President of the Sanhedrin
90487,Q98387,Hillel The old man the president of the Sanhedrin
90495,Q98395,Hezekiah ben Uzziah descendant of King David or Benjamin
90505,Q98405,Uzziah the old man son of Solomon
90517,Q98417,Solomon the old man son of David
90525,Q98425,David ben Eliezer
90962,Q98862,daughter of Kahana
91233,Q99133,second wife of Samuel ben Hophni the priest
91235,Q99135,Israel ben Samuel the priest
91239,Q99139,Yosef Halevi
91243,Q99143,Samuel the governor
91245,Q99145,Nahshon ben Zadok
91247,Q99147,wife of Samuel the governor
91266,Q99166,daughter Nissim Gaon
91268,Q99168,Rabbi Yechiel ben Yosef Gaon
91302,Q99202,Avraham ben Yechiel Luria
91320,Q99220,Yitzhak ben Yaakov HaKohen Alfasi
91326,Q99226,Azariah the First Ben Avraham
91657,Q99557,Bostanai Exilarch & Gaon of Pumbeditha
91676,Q99576,Bostanai
91678,Q99578,Haninai ben Bostanai Head of the Exile and Gaon of Sura
91680,Q99580,HaKohen Rafa
91712,Q99612,Hanania ben Haninai the Gaon of Sura
91716,Q99616,HaKohen Rafa
91760,Q99660,Hillel Yishai ben Mari Gaon of Sura
91768,Q99668,Anan ben David founder of the Ananim movement - Karaites
91794,Q99694,Natronai bar Hilai Gaon of Sura
91825,Q99725,Antipas\Antipater
91835,Q99735,Shimon Hatrasi's wife
91844,Q99744,Eleazar ben Shmuel of Horga general of Andalusia and Reish Kala
91848,Q99748,Amram Gaon Gaon of Sura
91908,Q99808,Hasdai Ibn Shaprut
91950,Q99850,Saadiya Gaon Gaon of Sura
91970,Q99870,Israel ben Shmuel Hacohen Gaon Sura
92014,Q99914,Rabbi Dosa Gaon Gaon of Sura
92042,Q99942,Azariah Ben Israel HaCohen Gaon of Sura
92259,Q100159,Hananel Ben Hushiel
92381,Q100281,Avraham Bar-Haiya HaNasi al-Bargeloni
92477,Q100377,Yaish HaNasi
92510,Q100410,Rabbu Zerchiya Halevi of GirondeRabbu Zerchiya II Halevi of Mechirona
92512,Q100412,Avraham Ben Yitzhak Halevi of Nebrona (the second Rabbi) the second Rabbi
92514,Q100414,Barachiah Ben Yitzhak Halevi
92520,Q100420,Rabbu Yosef Hanasi Halevi
92526,Q100426,Yehuda Halevi
92528,Q100428,Abraham
92598,Q100498,The wife of Abraham ben David Ravd or Ravd the third daughter of Abraham ben Yitzhak m
92606,Q100506,Rabbu Ben Benbenishti Halevi ben Yosef Halevi
92614,Q100514,Moshe ben Naḥman Ramban Mahs Sha'arei Teshuvah
92616,Q100516,Yona ben Avraham the Hasid of Girodini
92626,Q100526,Moses Bonastruc ַa Porta Ben Naḥman Girond (Nahmanides) PERFET
92662,Q100562,Yehuda
92686,Q100586,The wise and the accepted Rabbi Yitzhak Sagi Nehor Father of Kabbalah Father of Kabbalah
92690,Q100590,Rabbi David
92700,Q100600,Rabbi Yosef Halevi in Benvenisti
92704,Q100604,Yitzhak Halevi
92718,Q100618,Shlomo ben Ramban
92720,Q100620,Nachman ben Ramban
92722,Q100622,Yosef ben Ramban
92724,Q100624,Yehuda ben Ramban
92746,Q100646,Nasi Nas Bonastrug Astrug ַa Porta SALTELL
92803,Q100703,Moshe ben Yitzhak Halevi Yirchi
92805,Q100705,Rabbi Asher
92821,Q100721,Rabbu Aharon Halevi HaRh HaRh of Barcelona
92837,Q100737,Yona ben Shlomo grandson of the Ramban
92941,Q100841,Yitzhak Halevi of Narbonne
92943,Q100843,Yehoshua Halevi
92965,Q100865,Shlomo grandson of the Ramban
93047,Q100947,Yitzhak ben Yekutiel Abarbanel
93059,Q100959,Clarice de Lunel bat Abba Marie Yirchi
93075,Q100975,Rabbi Moshe Halevi Halevi Rabbi Moshe Halevi Yirchi
93077,Q100977,Yosef Halevi
93081,Q100981,Benvenishti
93092,Q100992,Yona Dismastery
93094,Q100994,Shimon Duran
93202,Q101102,Gedalia
93244,Q101144,Yosef Halevi
93246,Q101146,Benvenishti Horowitz
93248,Q101148,Yosef Halevi
93250,Q101150,Aharon (Rev.)
93252,Q101152,Pinchas
93260,Q101160,Shlomo Dismishtri
93262,Q101162,Shlomo Duran
93292,Q101192,Tereza Macarthana
93434,Q101334,David Don
93470,Q101370,Benvenishti Ben Yosef Halevi
93472,Q101372,Asher Zalman
93474,Q101374,Unknown Sheportsch
93476,Q101376,Tzemach Duran
93696,Q101596,David Atruk HaCohen de L'Estoile
93712,Q101612,Avraham Sheportsch
93714,Q101614,Shlomo Duran
93927,Q101827,David
93945,Q101845,Malech Shem Tov Stern HaCohen
93971,Q101871,Yitzhak Sheportsch
93979,Q101879,Shmuel Mix Nasi
94460,Q102360,HaCohen Rafa
94464,Q102364,HaCohen Rafa
94466,Q102366,The Priest Rafa
94468,Q102368,Daughter of Hananiah
94478,Q102378,The Priest Rafa
94480,Q102380,The Priest Rafa
94488,Q102388,Hanania
94500,Q102400,The Priest Rafa
94520,Q102420,The Priest Rafa
94554,Q102454,The Priest Rafa
94572,Q102472,The Priest Rafa
94588,Q102488,The Priest Rafa
94608,Q102508,The Priest Rafa
94624,Q102524,Yosef D'U Nuas
94634,Q102534,Hacohen Rafa
94648,Q102548,Hasdai ben Yitzhak ben Ezra ibn Shaprūṭ/
94656,Q102556,Shmuel ben Hafni Hacohen Gaon Masura
94662,Q102562,Hacohen Rafa
94674,Q102574,Rabeina II Sof hora'a Rav Rav Huna Avina (Rav Avina bar Rav Huna)
94704,Q102604,Hacohen Rafa
94728,Q102628,Hacohen Rafa
94738,Q102638,Rami bar Hama 6th Gen Amora
94770,Q102670,Hacohen Rafa
94776,Q102676,Huna Ben Nahum
94780,Q102680,Oya Amora
94808,Q102708,HaKohen Rafa
94814,Q102714,R. Yohanan 3rd Exilarch Yohanan II
94816,Q102716,Natan Ben Achia Nasi & rival to Simon son of Gamaliel
94848,Q102748,HaKohen Rafa
94850,Q102750,Haiya
94854,Q102754,Nahum
94858,Q102758,Shaft 4th Exilarch
94898,Q102798,HaKohen Rafa
94900,Q102800,Huna
94906,Q102806,David
94910,Q102810,Rabbi Anan 10th Exilarch
94948,Q102848,Ha-Kohen Rafa
94956,Q102856,Rabba Bar Avo
94984,Q102884,Rabbi Yitzhak Halevi Bailiff Perfet
94994,Q102894,Ha-Kohen Rafa
95004,Q102904,Shila Ish Kfar Temarta Ish Kfar Temarta
95048,Q102948,Rabbi Huna
95060,Q102960,Halevi
95078,Q102978,Ha-Kohen Rafa
95080,Q102980,Rabbi Nathan
95086,Q102986,R. David
95094,Q102994,Clara Halevi
95112,Q103012,Hacohen Rafa
95138,Q103038,Hacohen Rafa
95204,Q103104,Hacohen Rafa Hacohen Rafa/
95220,Q103120,Halevy
95314,Q103214,Hacohen Rafa
95327,Q103227,Clara
95480,Q103380,Halevy Abulafia
95486,Q103386,Hacohen Rafa
95500,Q103400,Clara Halevi
95502,Q103402,Yosef Shesportsch Av''Din Hunin
95728,Q103628,Kohen Rafa
95730,Q103630,Granddaughter of Gamliel I the Elder
95744,Q103644,Tzemach Duran
95746,Q103646,Shmuel Nasi
95764,Q103664,Yaakov Halevi Weil
96025,Q103925,Shimon II ben Gamliel the Elder President of the Sanhedrin
96029,Q103929,Shimon ben Netanel HaKohen
96048,Q103948,Francisco Mendes Benvenisti President of Tzemach Benvenisti
96088,Q103988,Bona (Dina) Katzenleboegen (d. #2)
96090,Q103990,Wife of Ephraim Naftali Weil
96420,Q104320,Yoida
96422,Q104322,Yohanan
96424,Q104324,Gamliel II President of the Sanhedrin of Yavne
96428,Q104328,Yohanan the Shoemaker
96498,Q104398,Aharon Shesportash Sasportas/
96564,Q104464,Frans Hador Hakatzin Gaon Rabbi Ephraim Naftali Hirsch Heshil AvD Konstantinov AvD Konstantinov and Lod and from M to D' A
96566,Q104466,Yaakov Ashkenazi AvD Brisk and Lublin
96570,Q104470,The Great Rabbi M. Eliezer R. Lizer Ladmarir
96572,Q104472,Heshel
96990,Q104890,Yonathan
96992,Q104892,Rabban Gamliel II of Yavne
96994,Q104894,Shimon III ben Gamliel II President of the Sanhedrin
96996,Q104896,Yohanan the Sandaler
96998,Q104898,Hanania ben Gamliel II
97000,Q104900,Yehuda ben Gamliel
97002,Q104902,Eleazar ben Hyrcanus
97004,Q104904,Yehoshua Zimri of the Land of Israel
97218,Q105118,Debora Wahl - Katzenlenbogen
97220,Q105120,The Gaon The Holy Rabbi Avraham Yehoshua Heshil Rabbi and AvDin of Lublin and the Holy Rabbi of Krakow (AvDin of Lublin and the Holy Rabbi of Krakow)
97228,Q105128,Rabbi Gaon R. Yitzchak
97230,Q105130,Meisles
97494,Q105394,Hashabah
97502,Q105402,Abihud
97624,Q105524,Yiduo
97639,Q105539,Shebna Ahi Hillel the Elder
97641,Q105541,Nathaniel HaCohen
97643,Q105543,Yehuda ben Shimon III the Holy the President
97645,Q105545,Rabbi Yochanan's wife The Shoemaker
97647,Q105547,Son of Yochanan the Shoemaker according to tradition 22 generations to Joshua Zimri the ancestor of Rashi According to tradition 22 generations to Joshua Zimri my father
97651,Q105551,Gamliel III Ben Yehuda the President President of the Sanhedrin
97655,Q105555,Daughter of Rabbi Yehuda the President
97659,Q105559,Yehuda II Ben Gamliel III President of the Sanhedrin
97669,Q105569,Gamliel IV Ben Yehuda II President of the Sanhedrin
97685,Q105585,Yehuda III Ben Gamliel IV President of the Sanhedrin
97697,Q105597,Hillel II Ben Yehuda III President of the Sanhedrin
97699,Q105599,Gamliel V Ben Yehuda III President Sanhedrin
97719,Q105619,Yehuda IV ben Gamliel V President of the Sanhedrin
97813,Q105713,Gamliel VI Last of the Presidents
97817,Q105717,The Priest Rafa
97819,Q105719,The Priest Rafa
97821,Q105721,The Priest Rafa
98035,Q105935,The Priest Rafa Gaon of Sura
98037,Q105937,The Priest Rafa Gaon of Sura
98265,Q106165,The Priest Rafa of Sura
98267,Q106167,Eleazar ben Klir
101446,Q109346,Yaakov ben Yosef Cohen Tzedek Gaon of Sura and Pompadita
102087,Q109987,Hopni Yosef ben Yaakov Hacohen Gaon of Sura
102623,Q110523,Bat Kahana
102893,Q110793,Second wife of Shmuel ben Hopni Hacohen Gaon of Sura
102895,Q110795,Israel ben Shmuel Hacohen Nagid Gaon of Sura
102899,Q110799,Yosef Halevi Gaon of Sura
102903,Q110803,Shmuel Hanagid Halevi Hanagid
102905,Q110805,Nachshon ben Zadok
102907,Q110807,Wife of Shmuel Hanagid
102909,Q110809,Yehosef Halevi Hanagid ben Nagrala
102927,Q110827,Bat Nissim Gaon
102929,Q110829,Rabbi Yechiel ben Yosef Gaon II [Gd.son of Hai Gaon]
102963,Q110863,AberThey are the son of Yechiel Luria Gaon of Egypt
102981,Q110881,Yitzhak ben Yaakov the priest of Alfasi
102987,Q110887,Azariah the first ben Abraham
103487,Q111387,Antipas\Antipaterus Governor of Idumaea
103497,Q111397,Simon the wife of Tarsus
121549,Q129449,Yalem
