Date_Value,Category,Count,Year,Issues,Sample_Line,Sample_Individual,Sample_Name
1025,medieval_late,44,1025,Post-1000 AD (should be trimmed): 1025,549391,I46199,Muniadomna (Tuttadomna) /Froilaz/
250 B.C.,bc,43,-250,,272509,I34118,Marcus Aemilius Lepidus //
400 B.C.,bc,43,-400,,343302,I35995,Antiochus //
1095,medieval_late,43,1095,Post-1000 AD (should be trimmed): 1095,411545,I40381,Saul /Ibn Tibbon/
500 B.C.,bc,42,-500,,980059,I65243,Philip of Macedon //
250,ad_standard,42,250,,310880,I35055,Lucius Caesonius Lucillus Macer Rufinianus //
1115,medieval_late,42,1115,Post-1000 AD (should be trimmed): 1115,346308,I36163,D. Ausindo Ximeno //
1005,medieval_late,42,1005,Post-1000 AD (should be trimmed): 1005,550198,I46230,/González de Figueroa/
350 B.C.,bc,41,-350,,343623,I36005,Publius Cornelius Rufinus //
1035,medieval_late,41,1035,Post-1000 AD (should be trimmed): 1035,440376,I41660,Bonadona /Perfet (1st)/
1210,medieval_late,40,1210,Post-1000 AD (should be trimmed): 1210,415961,I40497,יונה /בן אברהם/
ABT 1230,medieval_late,40,1230,Post-1000 AD (should be trimmed): 1230,415760,I40491,Daniel ben Shemtob Annyas ben Shemtob //
1105,medieval_late,39,1105,Post-1000 AD (should be trimmed): 1105,413737,I40428,Yahya /ibn Da'ud/
985,ad_standard,39,985,,505510,I44594,Al Hassan /Al Idrees/
1 JAN 1130,medieval_late,39,1130,Post-1000 AD (should be trimmed): 1130,662076,I49502,Gonçalo Rodrigues da Palmeira //
150,ad_standard,38,150,,206157,I31408,Aquilia Blaesilla //
1055,medieval_late,37,1055,Post-1000 AD (should be trimmed): 1055,409175,I40321,Muhsin /ibn Qaid al-Ashir/
1195,medieval_late,37,1195,Post-1000 AD (should be trimmed): 1195,583301,I47145,Estevainha Martins da Silva //
1 JAN 200,ad_standard,37,200,,715927,I51996,Artabanus IV of Parthia //
ABT 1250,medieval_late,37,1250,Post-1000 AD (should be trimmed): 1250,45806,I9771,"Prativyoma, King of Kosala //"
ABT 1200,medieval_late,37,1200,Post-1000 AD (should be trimmed): 1200,418320,I40586,Ibn Yaḥyā ... //
920,ad_standard,36,920,,305270,I34841,Hermenegildo Gutiérrez //
1125,medieval_late,36,1125,Post-1000 AD (should be trimmed): 1125,412901,I40404,Abraham ben Judah Ibn Ezra //
960,ad_standard,35,960,,436900,I41517,Yosef ben Hai /MeRomi/
1182,medieval_late,35,1182,Post-1000 AD (should be trimmed): 1182,567421,I46642,Nuno /Soares/
1116,medieval_late,35,1116,Post-1000 AD (should be trimmed): 1116,567898,I46661,"/Fafes de Lanhoso, o ""Velho""/"
1 JAN 1101,medieval_late,35,1101,Post-1000 AD (should be trimmed): 1101,713189,I51873,Urraca of Zamora //
1260,medieval_late,34,1260,Post-1000 AD (should be trimmed): 1260,441851,I41738,קלרה /הלוי/
1 JAN 501,ad_standard,34,501,,672344,I49790,Barrah bint Abdul Uzza //
1205,medieval_late,33,1205,Post-1000 AD (should be trimmed): 1205,414662,I40449,רבינו יוסף הנשיא /הלוי/
ABT 1160,medieval_late,33,1160,Post-1000 AD (should be trimmed): 1160,408837,I40311,Abu al-Barakāt Nethan'el /ben Mevorakh (Mubārak)/
ABT 1210,medieval_late,33,1210,Post-1000 AD (should be trimmed): 1210,419672,I40644,Hiyya /ibn Yahya ibn Ya'ish/
1270,medieval_late,32,1270,Post-1000 AD (should be trimmed): 1270,56202,I10308,Maathorneferure /Placeholder surname/
1154,medieval_late,31,1154,Post-1000 AD (should be trimmed): 1154,346433,I36171,Bonifácia /Ximeno/
910,ad_standard,31,910,,515907,I45240,David /ben Kohen Sedeq/
1198,medieval_late,31,1198,Post-1000 AD (should be trimmed): 1198,629930,I48515,Dolça de So /de Pallars Jussà/
1 JAN 601,ad_standard,31,601,,672604,I49806,Zaynab bint Maz'un //
1199,medieval_late,31,1199,Post-1000 AD (should be trimmed): 1199,738973,I53017,Sancho Díaz de Haro //
1 JAN 1300,medieval_late,31,1300,Post-1000 AD (should be trimmed): 1300,842583,I57601,Alice of Armenia //
ABT 1130,medieval_late,31,1130,Post-1000 AD (should be trimmed): 1130,346329,I36164,Maria /Godereis de Castellane/
ABT 1180,medieval_late,31,1180,Post-1000 AD (should be trimmed): 1180,413797,I40429,"Abraham ibn Da'ud haLevi, RABaD I //"
1017,medieval_late,30,1017,Post-1000 AD (should be trimmed): 1017,32840,I8894,Maharaja Sriwijaya XIV - Sri Mara-Wijayottunggawarman (1008–1017) /Placeholder surname/
940,ad_standard,30,940,,403279,I40155,Yitzhak /ben Josiah al-Hassan/
1099,medieval_late,30,1099,Post-1000 AD (should be trimmed): 1099,411792,I40389,Abū ʿAmr Yosef /Ibn Qamni’el/
925,ad_standard,30,925,,522903,I45649,Peretz Gaon //
1165,medieval_late,30,1165,Post-1000 AD (should be trimmed): 1165,572457,I46819,Osório /Garcia/
1 JAN 1060,medieval_late,30,1060,Post-1000 AD (should be trimmed): 1060,711005,I51771,Chaghri Beg //
450 B.C.,bc,29,-450,,980497,I65268,Seuthes I //
1215,medieval_late,29,1215,Post-1000 AD (should be trimmed): 1215,99309,I24200,Isabel //
955,ad_standard,29,955,,437465,I41533,unknown //
1133,medieval_late,29,1133,Post-1000 AD (should be trimmed): 1133,574427,I46893,Gonsalo /de Giron/
1137,medieval_late,29,1137,Post-1000 AD (should be trimmed): 1137,580506,I47058,Paio /Mendes/
1 JAN 1160,medieval_late,29,1160,Post-1000 AD (should be trimmed): 1160,748276,I53413,Géraud III of Armagnac //
1176,medieval_late,28,1176,Post-1000 AD (should be trimmed): 1176,584491,I47195,Suero /Ximénez Bernardo del Caso/
1 JAN 801,ad_standard,28,801,,685726,I50599,Al-Qasim ibn Harun al-Rashid //
1 JAN 1050,medieval_late,28,1050,Post-1000 AD (should be trimmed): 1050,715195,I51960,Elisabet de Nimes //
1 JAN 1150,medieval_late,28,1150,Post-1000 AD (should be trimmed): 1150,761099,I54000,Aimerico Manrique de Lara //
ABT 1000,ad_standard,28,1000,,41089,I9437,Kinnarasva //
ABT 1220,medieval_late,28,1220,Post-1000 AD (should be trimmed): 1220,414607,I40447,"Bonastrug ""Astrug"" ça Porta /Saltell/"
1 JAN 400,ad_standard,27,400,,174388,I29981,Aspar //
995,ad_standard,27,995,,406764,I40252,Abul-Fat'h al-Mansur /ibn Yusif Buluggin/
1103,medieval_late,27,1103,Post-1000 AD (should be trimmed): 1103,413210,I40411,"wife, Zerachya II /de Girona/"
870,ad_standard,27,870,,543511,I46077,Guntina (Onneca) /Lucidiz/
1152,medieval_late,27,1152,Post-1000 AD (should be trimmed): 1152,623704,I48352,María /García de Villamayor/
1 JAN 1020,medieval_late,27,1020,Post-1000 AD (should be trimmed): 1020,628076,I48497,Almodis de la Marche //
999,ad_standard,27,999,,701697,I51349,Nuño Fernández //
1192,medieval_late,27,1192,Post-1000 AD (should be trimmed): 1192,794938,I55487,Tutush II //
ABT 1070,medieval_late,27,1070,Post-1000 AD (should be trimmed): 1070,406091,I40236,"Yehudah ""Zakhai"" Natan /ben Avraham al-Andalusi/"
550 B.C.,bc,26,-550,,978995,I65181,Alcetas I of Macedon //
860,ad_standard,26,860,,34573,I9068,Balaputradewa //
1062,medieval_late,26,1062,Post-1000 AD (should be trimmed): 1062,409230,I40324,Ma‘ādh Abū Tamīm ibn Badis al-Mu‘izz /li Dīn Allāh/
1096,medieval_late,26,1096,Post-1000 AD (should be trimmed): 1096,414808,I40456,Sheshet /Perfet/
1102,medieval_late,26,1102,Post-1000 AD (should be trimmed): 1102,568109,I46669,Elvira /Martins de Riba de Vizela/
1290,medieval_late,26,1290,Post-1000 AD (should be trimmed): 1290,605935,I47875,/Raposo Pimentel/
1118,medieval_late,26,1118,Post-1000 AD (should be trimmed): 1118,651834,I49288,"D.Gualdim Pais, 4º Mestre dos Templários em Portugal //"
ABT 100,ad_standard,26,100,,200205,I31110,Fulvius /Pius/
ABT 1100,medieval_late,26,1100,Post-1000 AD (should be trimmed): 1100,403338,I40157,Levi /ben Yapheth ben Semah/
ABT 1020,medieval_late,26,1020,Post-1000 AD (should be trimmed): 1020,405551,I40215,"Daniel ""Zakkai"" /ben Azariah/"
ABT 1240,medieval_late,26,1240,Post-1000 AD (should be trimmed): 1240,417415,I40546,Abraham Vidal /Benveniste/
200,ad_standard,25,200,,309903,I35015,Titus Flavius Titianus //
965,ad_standard,25,965,,513987,I45123,Ali b. Hossein Al-Sharif_al-Murtada //
890,ad_standard,25,890,,573346,I46845,Zayd /ibn 'Abd Allâh/
1 JAN 970,ad_standard,25,970,,693367,I50977,Fernán González of Castile //
1 JAN 1201,medieval_late,25,1201,Post-1000 AD (should be trimmed): 1201,794694,I55474,Rusudan //
ABT 1150,medieval_late,25,1150,Post-1000 AD (should be trimmed): 1150,43033,I9624,"Bhanuratha, King of Kosala /Placeholder surname/"
ABT 1110,medieval_late,25,1110,Post-1000 AD (should be trimmed): 1110,406396,I40240,Samuel /ben Azariah Gaon/
1016,medieval_late,24,1016,Post-1000 AD (should be trimmed): 1016,32531,I8872,Maharaja Medang XVI - Dharmawangsa Teguh (991-1016) /Placeholder surname/
1225,medieval_late,24,1225,Post-1000 AD (should be trimmed): 1225,418673,I40597,רבינו פנחס /הלוי/
1034,medieval_late,24,1034,Post-1000 AD (should be trimmed): 1034,437948,I41554,Samuel /Ha-Cohen/
680,ad_standard,24,680,,476876,I43132,Abu Bakr bin al-Hasan //
1201,medieval_late,24,1201,Post-1000 AD (should be trimmed): 1201,606357,I47898,Sancha /Peres de Vasconcelos/
1068,medieval_late,24,1068,Post-1000 AD (should be trimmed): 1068,623546,I48345,Fernando /de Pamplona/
945,ad_standard,24,945,,632340,I48556,"Walchaire de Narbonne, I. baron de Villeneuve //"
1148,medieval_late,24,1148,Post-1000 AD (should be trimmed): 1148,664263,I49576,Rodrigo /Garcés de Aza/
1129,medieval_late,24,1129,Post-1000 AD (should be trimmed): 1129,665459,I49602,Fernando /Fernández de Castro/
1 JAN 701,ad_standard,24,701,,679054,I50203,Atikah bint Yazid //
ABT 120,ad_standard,24,120,,203638,I31259,Arria //
ABT 970,ad_standard,24,970,,406790,I40253,Yosef ben Shmuel HaLevi HaNagid //
ABT 1140,medieval_late,24,1140,Post-1000 AD (should be trimmed): 1140,413144,I40409,Yakob Shlomo ben Sheshet //
ABT 1260,medieval_late,24,1260,Post-1000 AD (should be trimmed): 1260,421452,I40717,Gerson /HaYarhi/
12 OCT 680,ad_standard,23,680,,220402,I32178,Husayn ibn Ali //
1028,medieval_late,23,1028,Post-1000 AD (should be trimmed): 1028,548416,I46163,Arnaldo //
915,ad_standard,23,915,,549747,I46212,Egas /Moniz/
1088,medieval_late,23,1088,Post-1000 AD (should be trimmed): 1088,560463,I46445,Géraud Ier Seigneur de /Cabrera/
1172,medieval_late,23,1172,Post-1000 AD (should be trimmed): 1172,567900,I46661,"/Fafes de Lanhoso, o ""Velho""/"
1087,medieval_late,23,1087,Post-1000 AD (should be trimmed): 1087,588383,I47335,Remón /Pérez de Figueroa/
1093,medieval_late,23,1093,Post-1000 AD (should be trimmed): 1093,598466,I47600,Lope /Íñiguez/
1173,medieval_late,23,1173,Post-1000 AD (should be trimmed): 1173,636772,I48667,Elvira Teresa /Rodríguez Girón/
1144,medieval_late,23,1144,Post-1000 AD (should be trimmed): 1144,668104,I49657,Ramiro /Ponce de Minerva/
1132,medieval_late,23,1132,Post-1000 AD (should be trimmed): 1132,750203,I53499,Guerau II de Cabrera //
ABT 1500,medieval_late,23,1500,Post-1000 AD (should be trimmed): 1500,59157,I11213,"Prasusruta, King of Kosala /Placeholder surname/"
ABT 150,ad_standard,23,150,,193773,I30762,Tiberius Claudius Pompeianus Quintianus //
ABT 1120,medieval_late,23,1120,Post-1000 AD (should be trimmed): 1120,346265,I36161,Teresa /Ausendes/
160 B.C.,bc,22,-160,,996540,I66105,Nicomedes II of Bithynia //
624,ad_standard,22,624,,37258,I9200,"Raja Kalingga Utara I (695-702), Maharaja Galuh II (702-709) - Amara /Placeholder surname/"
1136,medieval_late,22,1136,Post-1000 AD (should be trimmed): 1136,414783,I40455,Isaac Benveniste Saltiel //
1245,medieval_late,22,1245,Post-1000 AD (should be trimmed): 1245,421276,I40709,Shlomo ben Yahya ibn Yahya //
1147,medieval_late,22,1147,Post-1000 AD (should be trimmed): 1147,441072,I41700,Bonadona /Gracian Hen/
300,ad_standard,22,300,,471587,I43038,יהודה השלישי /בן גמליאל הרביעי/
1128,medieval_late,22,1128,Post-1000 AD (should be trimmed): 1128,567028,I46627,Gontrode /Muniz/
1092,medieval_late,22,1092,Post-1000 AD (should be trimmed): 1092,590253,I47402,Ordoño /García de Aza/
1166,medieval_late,22,1166,Post-1000 AD (should be trimmed): 1166,665563,I49607,Alvaro /Rodriguez de Sarria/
1 JAN 995,ad_standard,22,995,,701882,I51357,Mayor of Castile //
1 JAN 1095,medieval_late,22,1095,Post-1000 AD (should be trimmed): 1095,714686,I51938,Gerald II of Armagnac //
ABT 940,ad_standard,22,940,,402300,I40130,Josiah al-Hasan /ben Zakkai/
ABT 960,ad_standard,22,960,,404483,I40181,Yekuthiel /ben Isaac Ibn Ḥasan/
ABT 1080,medieval_late,22,1080,Post-1000 AD (should be trimmed): 1080,407380,I40271,"Yehudah ""Judah"" /ben Mevorakh/"
ABT 1040,medieval_late,22,1040,Post-1000 AD (should be trimmed): 1040,407421,I40272,Abū 'l-Faḍl Mevorakh /(Mubārak) ben Saʿadya/
ABT 1170,medieval_late,22,1170,Post-1000 AD (should be trimmed): 1170,410525,I40353,Nethan'el /ben Moshe HaLevi/
1 JAN 700 B.C.,bc,21,-1,,297474,I34525,Phraortes //
1 JAN 1 B.C.,bc,21,-1,,1005788,I66604,Ariarathes VIII of Cappadocia //
1012,medieval_late,21,1012,Post-1000 AD (should be trimmed): 1012,33171,I8925,Maharaja Sunda XVII - Brajawisesa (989-1012) /Placeholder surname/
1053,medieval_late,21,1053,Post-1000 AD (should be trimmed): 1053,405411,I40212,Abu Isḥāq Ibrahim Sahl /ibn al-Nag'hdīlah ibn Ata al-yahūdī/
1086,medieval_late,21,1086,Post-1000 AD (should be trimmed): 1086,408605,I40306,Abu Bakr Muhammad /ibn Yaʿīs̲h̲ al-Asadī/
1106,medieval_late,21,1106,Post-1000 AD (should be trimmed): 1106,410366,I40349,Abū ’l Ḥasan Me'ir /Ibn Abī ʾl-ʿAysh/
1255,medieval_late,21,1255,Post-1000 AD (should be trimmed): 1255,419617,I40641,Don Soliman ibn Ya'ish //
1280,medieval_late,21,1280,Post-1000 AD (should be trimmed): 1280,425373,I40902,Malkhi Nasi /ben Sar Shalom/
935,ad_standard,21,935,,437070,I41521,Samuel Ha-Gaon //
1064,medieval_late,21,1064,Post-1000 AD (should be trimmed): 1064,550337,I46237,Elvira /Rodríguez/
1071,medieval_late,21,1071,Post-1000 AD (should be trimmed): 1071,569156,I46717,Pedro /Froilaz de Trava/
1054,medieval_late,21,1054,Post-1000 AD (should be trimmed): 1054,573926,I46876,Fortun /Sanchez/
1108,medieval_late,21,1108,Post-1000 AD (should be trimmed): 1108,580771,I47066,Maria /Soares/
1228,medieval_late,21,1228,Post-1000 AD (should be trimmed): 1228,583173,I47140,Estevão /Soares da Silva/
1 JAN 1170,medieval_late,21,1170,Post-1000 AD (should be trimmed): 1170,586615,I47277,Maria Pais de Ribeira //
1126,medieval_late,21,1126,Post-1000 AD (should be trimmed): 1126,589643,I47390,Pedro Froilaz de Traba //
1146,medieval_late,21,1146,Post-1000 AD (should be trimmed): 1146,668152,I49659,Sancha Ponce /de Minerva/
1 JAN 1001,medieval_late,21,1001,Post-1000 AD (should be trimmed): 1001,704744,I51485,Mikail of Kınık tribe //
1 JAN 1110,medieval_late,21,1110,Post-1000 AD (should be trimmed): 1110,726659,I52463,Bernard III of Armagnac //
1 JAN 1191,medieval_late,21,1191,Post-1000 AD (should be trimmed): 1191,763081,I54091,"William V, Marquess of Montferrat //"
1218,medieval_late,21,1218,Post-1000 AD (should be trimmed): 1218,843130,I57632,William I of Baux //
ABT 30,unknown,21,,,214925,I31906,Consul (69) - Gnaeus Arrius Antoninus //
ABT 165,ad_standard,21,165,,309322,I34989,Fundanius Vitrasius //
800 B.C.,bc,20,-800,,298982,I34561,Rhea Silvia //
1 JAN 50 B.C.,bc,20,-1,,325997,I35617,Servilia //
600 B.C.,bc,20,-600,,981179,I65307,Seraiah //
1097,medieval_late,20,1097,Post-1000 AD (should be trimmed): 1097,227353,I32441,Nizar //
930,ad_standard,20,930,,406585,I40247,Salmon /ben Hasdai (Yerūḥam) ben Hezekiah/
1186,medieval_late,20,1186,Post-1000 AD (should be trimmed): 1186,416341,I40510,Benvenist /ben Abraham de la Cavalleria/
875,ad_standard,20,875,,490949,I43753,Abdullah bin /Qasim/
1047,medieval_late,20,1047,Post-1000 AD (should be trimmed): 1047,575855,I46935,Munio /González de Alava/
1138,medieval_late,20,1138,Post-1000 AD (should be trimmed): 1138,581722,I47094,Mendo Egas /Viegas/
1124,medieval_late,20,1124,Post-1000 AD (should be trimmed): 1124,588246,I47327,María Teresa /Ordóñez/
1184,medieval_late,20,1184,Post-1000 AD (should be trimmed): 1184,642488,I48902,Pedro Fernández ¨Fuentecalada¨ //
1 JAN 1148,medieval_late,20,1148,Post-1000 AD (should be trimmed): 1148,665235,I49599,Alphonse Jourdain //
1 JAN 300,ad_standard,20,300,,693715,I50992,Hormizd II //
1 JAN 940,ad_standard,20,940,,713584,I51891,Hugh Capet of France //
1 JAN 1045,medieval_late,20,1045,Post-1000 AD (should be trimmed): 1045,714163,I51915,Adelheid II van Franken //
1 JAN 1090,medieval_late,20,1090,Post-1000 AD (should be trimmed): 1090,714782,I51942,"Centule V, Viscount of Béarn //"
1094,medieval_late,20,1094,Post-1000 AD (should be trimmed): 1094,727941,I52518,Letgarde de Tost //
1 JAN 1120,medieval_late,20,1120,Post-1000 AD (should be trimmed): 1120,738209,I52984,Fernando Fernández de Carrión //
1162,medieval_late,20,1162,Post-1000 AD (should be trimmed): 1162,777778,I54720,Renier of Montferrat //
ABT 1300,medieval_late,20,1300,Post-1000 AD (should be trimmed): 1300,29940,I8680,Prabu Kertawardhana /Placeholder surname/
ABT 1050,medieval_late,20,1050,Post-1000 AD (should be trimmed): 1050,41753,I9509,SUNAKSHTRA /MARUDEVA/
ABT 80,unknown,20,,,208122,I31539,Domitia Lucilla Major //
ABT 45,unknown,20,,,213161,I31830,Gaius Ummidius Quadratus /Sallustius/
1350,medieval_late,19,1350,Post-1000 AD (should be trimmed): 1350,30166,I8692,Gayatri Rajapatni /Placeholder surname/
895,ad_standard,19,895,,34322,I9054,Maharaja Sunda IX - Arya Kadaton (891-895) /Placeholder surname/
1275,medieval_late,19,1275,Post-1000 AD (should be trimmed): 1275,46277,I9793,Vatsavyuha /Arukshay/
865,ad_standard,19,865,,164439,I29462,Gutier Menéndez //
975,ad_standard,19,975,,406731,I40251,Hammad /ibn Buluggin/
1141,medieval_late,19,1141,Post-1000 AD (should be trimmed): 1141,412496,I40392,Abū ʿAmr Yosef /Ibn al-Muhājir/
1196,medieval_late,19,1196,Post-1000 AD (should be trimmed): 1196,413739,I40428,Yahya /ibn Da'ud/
1114,medieval_late,19,1114,Post-1000 AD (should be trimmed): 1114,439627,I41629,Qasmūna /bat Ismā‛īl HaLevi HaNagid/
1078,medieval_late,19,1078,Post-1000 AD (should be trimmed): 1078,567171,I46632,Soares I //
1131,medieval_late,19,1131,Post-1000 AD (should be trimmed): 1131,589354,I47376,Gutierre /Bermúdez/
1 JAN 990,ad_standard,19,990,,591865,I47474,Oliba Cabreta //
1189,medieval_late,19,1189,Post-1000 AD (should be trimmed): 1189,614354,I48130,Sancho I of Portugal //
1204,medieval_late,19,1204,Post-1000 AD (should be trimmed): 1204,615149,I48135,Constança /de Portugal/
