
id,label_en,translation
Q7222,稚狭王,Zhi Xia Wang 
Q7223,高坂王,Gao Ban Wang 
Q7224,大宅王 (飛鳥時代),Da Zhai Wang  (fei Niao Shi Dai )
Q7233,春日野依,Chun Ri Ye Yi 
Q7235,春日於保貝,Chun Ri Yu Bao Bei 
Q7239,蘇我日向,Su Wo Ri Xiang 
Q7244,物部大臣,Wu Bu Da Chen 
Q7249,紀古麻呂,Ji Gu Ma Lu 
Q7251,紀奈賀岐娘 (紀大人の娘),Ji Nai He Qi Niang  (ji Da Ren Noniang )
Q7252,紀大人の娘,Ji Da Ren Noniang 
Q7255,物部片野田,Wu Bu Pian Ye Tian 
Q7256,尾張荒坂与,Wei Zhang Huang Ban Yu 
Q7258,朱大王,Zhu Da Wang 
Q7264,比里古郎,Bi Li Gu Lang 
Q7270,武家王,Wu Jia Wang 
Q7318,小足媛,Xiao Zu Yuan 
Q7319,蘇我乳娘,Su Wo Ru Niang 
Q7321,春日淵名,Chun Ri Yuan Ming 
Q7322,春日磐摩,Chun Ri Pan Mo 
Q7324,蘇我興志,Su Wo Xing Zhi 
Q7325,蘇我法師,Su Wo Fa Shi 
Q7326,蘇我赤猪,Su Wo Chi Zhu 
Q7327,蘇我倉山田石川麻呂娘,Su Wo Cang Shan Tian Shi Chuan Ma Lu Niang 
Q7328,蘇我安麻呂,Su Wo An Ma Lu 
Q7330,坂上弓束,Ban Shang Gong Shu 
Q7332,紀広名,Ji Guang Ming 
Q7333,紀広庭,Ji Guang Ting 
Q7334,紀鯖麻呂,Ji Qing Ma Lu 
Q7335,紀飯麻呂,Ji Fan Ma Lu 
Q7339,紀猿取,Ji Yuan Qu 
Q7345,多治比池守,Duo Zhi Bi Chi Shou 
Q7347,物部薦何見,Wu Bu Jian He Jian 
Q7348,尾張斜米加陀,Wei Zhang Xie Mi Jia Tuo 
Q7365,吹黄刀自,Chui Huang Dao Zi 
Q7376,榎井王,Jia Jing Wang 
Q7377,海上女王,Hai Shang Nu Wang 
Q7379,衣縫内親王,Yi Feng Nei Qin Wang 
Q7380,坂合部内親王,Ban He Bu Nei Qin Wang 
Q7395,藤原殿刀自,Teng Yuan Dian Dao Zi 
Q7397,河内王 (奈良時代),He Nei Wang  (nai Liang Shi Dai )
Q7398,栗栖王,Li Qi Wang 
Q7401,長田王,Chang Tian Wang 
Q7402,文室大市,Wen Shi Da Shi 
Q7403,阿刀王,A Dao Wang 
Q7419,上道王,Shang Dao Wang 
Q7425,春日津摩伎,Chun Ri Jin Mo Ji 
Q7427,石川石足,Shi Chuan Shi Zu 
Q7428,坂上首名,Ban Shang Shou Ming 
Q7429,紀真人,Ji Zhen Ren 
Q7430,紀勝雄,Ji Sheng Xiong 
Q7431,紀鯖丸の娘,Ji Qing Wan Noniang 
Q7433,紀広純,Ji Guang Chun 
Q7435,紀船守,Ji Chuan Shou 
Q7438,藤原国足,Teng Yuan Guo Zu 
Q7439,藤原斗売娘,Teng Yuan Dou Mai Niang 
Q7440,多治比阿伎良,Duo Zhi Bi A Ji Liang 
Q7447,中臣国足の娘 (多治比嶋の妻),Zhong Chen Guo Zu Noniang  (duo Zhi Bi Dao Noqi )
Q7448,家原音那,Jia Yuan Yin Na 
Q7450,多治比広成,Duo Zhi Bi Guang Cheng 
Q7452,多治比広足,Duo Zhi Bi Guang Zu 
Q7453,多治比屋主,Duo Zhi Bi Wu Zhu 
Q7454,多治比家主,Duo Zhi Bi Jia Zhu 
Q7455,多治比犢養,Duo Zhi Bi Du Yang 
Q7457,中臣国子,Zhong Chen Guo Zi 
Q7458,中臣糠手子,Zhong Chen Kang Shou Zi 
Q7459,物部櫛麻呂,Wu Bu Jie Ma Lu 
Q7465,大伴阿被比古,Da Ban A Bei Bi Gu 
Q7466,大伴宇遅古,Da Ban Yu Chi Gu 
Q7480,阿倍鳥,A Bei Niao 
Q7482,布勢人主,Bu Shi Ren Zhu 
Q7484,韋那磐鍬,Wei Na Pan Qiao 
Q7486,中臣許米,Zhong Chen Xu Mi 
Q7487,安倍大刀自,An Bei Da Dao Zi 
Q7494,賀茂女王,He Mao Nu Wang 
Q7495,智努女王,Zhi Nu Nu Wang 
Q7496,円方女王,Yuan Fang Nu Wang 
Q7500,紀諸人,Ji Zhu Ren 
Q7515,池辺王,Chi Bian Wang 
Q7517,賀茂小黒麻呂,He Mao Xiao Hei Ma Lu 
Q7533,石上国盛,Shi Shang Guo Sheng 
Q7544,藤原掃子,Teng Yuan Sao Zi 
Q7550,河内王,He Nei Wang 
Q7551,文室与伎,Wen Shi Yu Ji 
Q7552,文室真屋麻呂,Wen Shi Zhen Wu Ma Lu 
Q7554,文室高島,Wen Shi Gao Dao 
Q7555,文室波多麻呂,Wen Shi Bo Duo Ma Lu 
Q7556,文室真老,Wen Shi Zhen Lao 
Q7557,文室久賀麻呂,Wen Shi Jiu He Ma Lu 
Q7558,文室八島,Wen Shi Ba Dao 
Q7559,当麻老,Dang Ma Lao 
Q7562,長津王,Chang Jin Wang 
Q7564,石浦王,Shi Pu Wang 
Q7565,弓削女王,Gong Xue Nu Wang 
Q7566,小宅女王,Xiao Zhai Nu Wang 
Q7570,氷上志計志麻呂,Bing Shang Zhi Ji Zhi Ma Lu 
Q7578,豊野出雲,Li Ye Chu Yun 
Q7579,豊野篠原,Li Ye Xiao Yuan 
Q7580,豊野尾張,Li Ye Wei Zhang 
Q7581,豊野奄智,Li Ye Yan Zhi 
Q7582,豊野五十戸,Li Ye Wu Shi Hu 
Q7583,春日万,Chun Ri Mo 
Q7586,石川豊成,Shi Chuan Li Cheng 
Q7588,紀今守,Ji Jin Shou 
Q7589,紀国守,Ji Guo Shou 
Q7590,紀南麻呂,Ji Nan Ma Lu 
Q7591,藤原文山,Teng Yuan Wen Shan 
Q7596,大伴犬養女,Da Ban Quan Yang Nu 
Q7602,藤原児従,Teng Yuan Er Cong 
Q7603,藤原刷雄,Teng Yuan Shua Xiong 
Q7605,藤原小湯麻呂,Teng Yuan Xiao Tang Ma Lu 
Q7606,藤原薩雄,Teng Yuan Sa Xiong 
Q7608,紀勝長,Ji Sheng Chang 
Q7609,紀田上,Ji Tian Shang 
Q7610,紀田長,Ji Tian Chang 
Q7620,多治比古奈禰,Duo Zhi Bi Gu Nai Ni 
Q7621,大中臣諸魚,Da Zhong Chen Zhu Yu 
Q7622,大中臣宿奈麻呂,Da Zhong Chen Su Nai Ma Lu 
Q7623,大中臣子老,Da Zhong Chen Zi Lao 
Q7624,大中臣継麻呂,Da Zhong Chen Ji Ma Lu 
Q7625,大中臣今麻呂,Da Zhong Chen Jin Ma Lu 
Q7627,多治比継兄,Duo Zhi Bi Ji Xiong 
Q7628,多治比家継,Duo Zhi Bi Jia Ji 
Q7629,多治比豊継,Duo Zhi Bi Li Ji 
Q7630,多治比国人,Duo Zhi Bi Guo Ren 
Q7631,多治比縣守の娘,Duo Zhi Bi Xian Shou Noniang 
Q7632,丹比郎女,Dan Bi Lang Nu 
Q7633,多治比長野,Duo Zhi Bi Chang Ye 
Q7635,弓削浄人,Gong Xue Jing Ren 
Q7638,大伴山前,Da Ban Shan Qian 
Q7650,県犬養石次,Xian Quan Yang Shi Ci 
Q7658,橘継成,Ju Ji Cheng 
Q7660,藤原真友,Teng Yuan Zhen You 
Q7664,藤原鳥養の娘,Teng Yuan Niao Yang Noniang 
Q7666,藤原雄依,Teng Yuan Xiong Yi 
Q7667,藤原家依,Teng Yuan Jia Yi 
Q7670,阿倍帯麻呂の女,A Bei Dai Ma Lu Nonu 
Q7672,藤原永継,Teng Yuan Yong Ji 
Q7674,阿倍大麻呂,A Bei Da Ma Lu 
Q7675,布勢耳麻呂,Bu Shi Er Ma Lu 
Q7676,阿倍毛人,A Bei Mao Ren 
Q7677,阿倍嶋麻呂,A Bei Dao Ma Lu 
Q7678,阿倍粳蟲,A Bei Geng Chong 
Q7679,礒部王,Yi Bu Wang 
Q7680,永原最弟麻呂,Yong Yuan Zui Di Ma Lu 
Q7681,永原子伊太比,Yong Yuan Zi Yi Tai Bi 
Q7682,永原恵子,Yong Yuan Hui Zi 
Q7686,紀国益,Ji Guo Yi 
Q7705,藤原仲子,Teng Yuan Zhong Zi 
Q7706,藤原正子,Teng Yuan Zheng Zi 
Q7707,藤原東子 (藤原式家),Teng Yuan Dong Zi  (teng Yuan Shi Jia )
Q7710,百済王教仁,Bai Ji Wang Jiao Ren 
Q7711,百済王貞香,Bai Ji Wang Zhen Xiang 
Q7736,葛野王,Ge Ye Wang 
Q7741,賀茂吉備麻呂,He Mao Ji Bei Ma Lu 
Q7742,高賀茂諸雄,Gao He Mao Zhu Xiong 
Q7746,藤原喜娘,Teng Yuan Xi Niang 
Q7747,藤原清河の娘 (藤原魚名の母),Teng Yuan Qing He Noniang  (teng Yuan Yu Ming Nomu )
Q7748,津守氏 (藤原魚名の妻),Jin Shou Shi  (teng Yuan Yu Ming Noqi )
Q7756,藤原良継の娘 (藤原楓麻呂の妻),Teng Yuan Liang Ji Noniang  (teng Yuan Feng Ma Lu Noqi )
Q7759,藤原園主,Teng Yuan Yuan Zhu 
Q7775,藤原真書,Teng Yuan Zhen Shu 
Q7780,藤原継業,Teng Yuan Ji Ye 
Q7781,粟田廉刀自,Su Tian Lian Dao Zi 
Q7784,藤原宗継,Teng Yuan Zong Ji 
Q7785,藤原浄本,Teng Yuan Jing Ben 
Q7786,藤原清縄,Teng Yuan Qing Nawa 
Q7787,藤原姉子,Teng Yuan Zi Zi 
Q7788,藤原綱主,Teng Yuan Gang Zhu 
Q7789,藤原蔵下麻呂の娘,Teng Yuan Zang Xia Ma Lu Noniang 
Q7790,秦朝元の娘 (藤原清成室),Qin Zhao Yuan Noniang  (teng Yuan Qing Cheng Shi )
Q7792,藤原安継,Teng Yuan An Ji 
Q7794,能原長枝,Neng Yuan Chang Zhi 
Q7795,藤原宅美,Teng Yuan Zhai Mei 
Q7797,藤原良継の娘 (藤原家依室),Teng Yuan Liang Ji Noniang  (teng Yuan Jia Yi Shi )
Q7798,秦朝元の娘 (藤原綱手の妻),Qin Zhao Yuan Noniang  (teng Yuan Gang Shou Noqi )
Q7799,藤原菅継,Teng Yuan Jian Ji 
Q7800,藤原継彦,Teng Yuan Ji Yan 
Q7801,藤原大継,Teng Yuan Da Ji 
Q7802,藤原承之,Teng Yuan Cheng Zhi 
Q7803,藤原豊彦,Teng Yuan Li Yan 
Q7806,伴勝雄,Ban Sheng Xiong 
Q7807,文室弟直,Wen Shi Di Zhi 
Q7809,文室正嗣,Wen Shi Zheng Si 
Q7810,文室秋津,Wen Shi Qiu Jin 
Q7811,文室海田麻呂,Wen Shi Hai Tian Ma Lu 
Q7816,巨勢郎女,Ju Shi Lang Nu 
Q7821,石川名足,Shi Chuan Ming Zu 
Q7822,石川永年,Shi Chuan Yong Nian 
Q7824,坂上国麻呂,Ban Shang Guo Ma Lu 
Q7826,紀南麻呂の娘,Ji Nan Ma Lu Noniang 
Q7827,石上宅嗣の娘,Shi Shang Zhai Si Noniang 
Q7828,藤原真友の娘 (藤原文山室),Teng Yuan Zhen You Noniang  (teng Yuan Wen Shan Shi )
Q7830,紀興道,Ji Xing Dao 
Q7832,紀御園,Ji Yu Yuan 
Q7833,藤原友人,Teng Yuan You Ren 
Q7834,紀善峯,Ji Shan Feng 
Q7835,紀長江,Ji Chang Jiang 
Q7840,大中臣智治麻呂,Da Zhong Chen Zhi Zhi Ma Lu 
Q7841,大中臣安遊麻呂,Da Zhong Chen An You Ma Lu 
Q7842,大中臣弟守,Da Zhong Chen Di Shou 
Q7843,大中臣淵魚,Da Zhong Chen Yuan Yu 
Q7844,大中臣常麻呂,Da Zhong Chen Chang Ma Lu 
Q7845,多治比今麻呂,Duo Zhi Bi Jin Ma Lu 
Q7847,丹塀貞成,Dan Pyeng Zhen Cheng 
Q7848,多治比宇美,Duo Zhi Bi Yu Mei 
Q7849,多治比浜成,Duo Zhi Bi Bang Cheng 
Q7850,大伴書持,Da Ban Shu Chi 
Q7851,留女之女郎,Liu Nu Zhi Nu Lang 
Q7852,弓削広方,Gong Xue Guang Fang 
Q7854,大伴佐彦,Da Ban Zuo Yan 
Q7860,紀音那,Ji Yin Na 
Q7869,淡海三船の娘,Dan Hai San Chuan Noniang 
Q7872,橘真材,Ju Zhen Cai 
Q7873,橘有主,Ju You Zhu 
Q7874,橘島田麻呂の娘 (春澄善縄室),Ju Dao Tian Ma Lu Noniang  (chun Cheng Shan Nawa Shi )
Q7875,橘島田麻呂の娘 (藤原貞本室),Ju Dao Tian Ma Lu Noniang  (teng Yuan Zhen Ben Shi )
Q7877,橘弟氏,Ju Di Shi 
Q7881,橘清友の娘 (藤原真夏の妻),Ju Qing You Noniang  (teng Yuan Zhen Xia Noqi )
Q7882,橘枝主,Ju Zhi Zhu 
Q7884,藤原真友の娘 (藤原弟河室),Teng Yuan Zhen You Noniang  (teng Yuan Di He Shi )
Q7886,藤原真川,Teng Yuan Zhen Chuan 
Q7887,藤原秋常,Teng Yuan Qiu Chang 
Q7893,阿倍帯麻呂,A Bei Dai Ma Lu 
Q7894,坂上登子,Ban Shang Deng Zi 
Q7896,藤原大津,Teng Yuan Da Jin 
Q7898,藤原桜麻呂,Teng Yuan Ying Ma Lu 
Q7900,藤原長岡,Teng Yuan Chang Gang 
Q7902,藤原秋継,Teng Yuan Qiu Ji 
Q7903,藤原助,Teng Yuan Zhu 
Q7904,藤原緒夏,Teng Yuan Xu Xia 
Q7905,藤原内麻呂の娘,Teng Yuan Nei Ma Lu Noniang 
Q7909,阿倍道守,A Bei Dao Shou 
Q7910,石見王,Shi Jian Wang 
Q7911,県犬養唐,Xian Quan Yang Tang 
Q7912,紀清人,Ji Qing Ren 
Q7913,和武助,He Wu Zhu 
Q7914,和国守,He Guo Shou 
Q7917,飛鳥部奈止麻呂,Fei Niao Bu Nai Zhi Ma Lu 
Q7925,百済王武鏡,Bai Ji Wang Wu Jing 
Q7926,百済王教徳,Bai Ji Wang Jiao De 
Q7936,百済王慶命,Bai Ji Wang Qing Ming 
Q7937,百済王貴命,Bai Ji Wang Gui Ming 
Q7938,高階河子,Gao Jie He Zi 
Q7939,上毛野氏 (嵯峨天皇宮人),Shang Mao Ye Shi  (cuo E Tian Huang Gong Ren )
Q7940,笠継子,Li Ji Zi 
Q7944,紀氏（嵯峨天皇の宮人）,Ji Shi (cuo E Tian Huang Nogong Ren )
Q7945,大中臣岑子,Da Zhong Chen Cen Zi 
Q7946,長岡岡成の娘 (嵯峨天皇の宮人),Chang Gang Gang Cheng Noniang  (cuo E Tian Huang Nogong Ren )
Q7947,布勢武蔵子,Bu Shi Wu Zang Zi 
Q7948,坂上御井子,Ban Shang Yu Jing Zi 
Q7973,源継,Yuan Ji 
Q7979,橘氏子,Ju Shi Zi 
Q7980,藤原潔子,Teng Yuan Jie Zi 
Q7981,清原春子,Qing Yuan Chun Zi 
Q7989,平善棟,Ping Shan Dong 
Q7992,道野王,Dao Ye Wang 
Q7993,忠貞王,Zhong Zhen Wang 
Q7994,利基王,Li Ji Wang 
Q7995,忠範王,Zhong Fan Wang 
Q7999,基兄王,Ji Xiong Wang 
Q8000,基棟王,Ji Dong Wang 
Q8001,棟氏王,Dong Shi Wang 
Q8002,棟良王,Dong Liang Wang 
