Date_Value,Category,Count,Year,Issues,Sample_Line,Sample_Individual,Sample_Name
100,ad_standard,81,100,,261150,I31171,Julia Serviana /Paulina/
1060,medieval_late,81,1060,Post-1000 AD (should be trimmed): 1060,646792,I40335,/bar Mar Shealtiel/
1160,medieval_late,81,1160,Post-1000 AD (should be trimmed): 1160,649664,I40381,Saul /Ibn Tibbon/
150 B.C.,bc,80,-150,,551684,I35890,Publius Licinius Crassus Dives //
1040,medieval_late,80,1040,Post-1000 AD (should be trimmed): 1040,646397,I40330,Ali /ben Aaron ibn 'Allan/
1180,medieval_late,79,1180,Post-1000 AD (should be trimmed): 1180,662257,I40584,Don Yehuda ibn Yahya ibn Ya'ish //
600,ad_standard,75,600,,279326,I31782,/الخطاب بن نفيل/
1101,medieval_late,75,1101,Post-1000 AD (should be trimmed): 1101,1258698,I49729,Sancho /Fortún/
400,ad_standard,74,400,,225980,I30024,Gratianus Funarius //
1090,medieval_late,74,1090,Post-1000 AD (should be trimmed): 1090,991097,I46628,D. Egas /Gomes de Souza/
800,ad_standard,71,800,,632541,I40106,Baboi-Moshe /ben Yitzhak ibn Sāqawayh/
1300,medieval_late,71,1300,Post-1000 AD (should be trimmed): 1300,663549,I40604,Abigail /Gracian Hen/
1 JAN 700,ad_standard,71,700,,1266366,I49828,Barra binte Samawal //
500,ad_standard,69,500,,61454,I9947,Prasenajit II of Kosala /Placeholder surname/
650,ad_standard,69,650,,791031,I43130,Zayd bin al-Hasan //
1140,medieval_late,67,1140,Post-1000 AD (should be trimmed): 1140,1049342,I47335,Remón /Pérez de Figueroa/
1120,medieval_late,66,1120,Post-1000 AD (should be trimmed): 1120,652737,I40426,Judah ben Saul /Ibn Tibbon/
1080,medieval_late,65,1080,Post-1000 AD (should be trimmed): 1080,648782,I40369,Reina /bat Barzilai (bat Mar Shealtiel)/
1070,medieval_late,64,1070,Post-1000 AD (should be trimmed): 1070,644676,I40305,"Ṣāʿid al-Andalusī ""Hiyya al-Daudi"", Qaḍī of Cordoba & Toledo //"
1 JAN 100,ad_standard,63,100,,512780,I35452,Marcus Arrecinus Clemens //
1 JAN 900,ad_standard,63,900,,1325232,I50837,Shayban ibn Ahmad ibn Tulun //
700,ad_standard,60,700,,797782,I43231,Ibrahim al-Ghamr //
750,ad_standard,60,750,,838555,I44181,'Abd al-Malik bin Salih bin Alī //
1145,medieval_late,60,1145,Post-1000 AD (should be trimmed): 1145,994091,I46662,//
1110,medieval_late,59,1110,Post-1000 AD (should be trimmed): 1110,1030050,I47090,"D. Afonso Viegas, O Moço //"
1 JAN 500 B.C.,bc,55,-1,,2482554,I65240,Alcetas //
980,ad_standard,55,980,,635963,I40152,David Avraham /ben Hazub/
1185,medieval_late,55,1185,Post-1000 AD (should be trimmed): 1185,656926,I40493,Saltell /Gracian Hen/
550,ad_standard,54,550,,266488,I31323,Aminah //
1020,medieval_late,54,1020,Post-1000 AD (should be trimmed): 1020,636262,I40157,Levi /ben Yapheth ben Semah/
1065,medieval_late,53,1065,Post-1000 AD (should be trimmed): 1065,40181,I8820,Maharaja Sunda XXI - Darmaraja (1042-1065) /Placeholder surname/
350,ad_standard,53,350,,52640,I9562,King of Bakulapura I - Atwangga (...-350) /Placeholder surname/
1075,medieval_late,53,1075,Post-1000 AD (should be trimmed): 1075,995886,I46691,Ximeno /Bernardo del Caso/
1220,medieval_late,52,1220,Post-1000 AD (should be trimmed): 1220,668935,I40699,Moshe /ben Hanok al-Constantini/
1 JAN 600 B.C.,bc,51,-1,,2475318,I65132,Philip I of Macedon //
1010,medieval_late,51,1010,Post-1000 AD (should be trimmed): 1010,1003691,I46784,/Dordia Osorez/
1175,medieval_late,50,1175,Post-1000 AD (should be trimmed): 1175,39264,I8752,Maharaja Sunda XXIV - Darmakusuma (1157-1175) /Placeholder surname/
1190,medieval_late,50,1190,Post-1000 AD (should be trimmed): 1190,652746,I40426,Judah ben Saul /Ibn Tibbon/
1015,medieval_late,50,1015,Post-1000 AD (should be trimmed): 1015,894317,I45682,אברהם בן יחיאל /לוריא/
450,ad_standard,49,450,,217453,I29807,Pompeius //
1230,medieval_late,49,1230,Post-1000 AD (should be trimmed): 1230,656868,I40492,רבנו בנבנישתי הלוי בן יוסף /הלוי/
1 JAN 800,ad_standard,49,800,,1301229,I50499,Muhammad ibn Ismail //
1085,medieval_late,48,1085,Post-1000 AD (should be trimmed): 1085,652889,I40427,יעיש //
1240,medieval_late,47,1240,Post-1000 AD (should be trimmed): 1240,663411,I40600,"רבנו אהרון הלוי הרא""ה //"
1045,medieval_late,46,1045,Post-1000 AD (should be trimmed): 1045,643491,I40284,Qaid /ibn Hammad al-Ashir/
970,ad_standard,46,970,,939208,I46091,Ildaura /?/
1 JAN 600,ad_standard,46,600,,1264177,I49789,Wahb ibn Abd Manaf //
990,ad_standard,45,990,,40720,I8856,Raja Kahuripan - Airlangga (1009-1042) /Placeholder surname/
1 JAN 500,ad_standard,45,500,,452322,I34530,Marcus //
1135,medieval_late,45,1135,Post-1000 AD (should be trimmed): 1135,710700,I41703,Reina Saltiel //
1155,medieval_late,44,1155,Post-1000 AD (should be trimmed): 1155,39823,I8794,Maharaja Sunda XXII - Langlangbumi (1065-1155) /Placeholder surname/
1025,medieval_late,44,1025,Post-1000 AD (should be trimmed): 1025,950513,I46199,Muniadomna (Tuttadomna) /Froilaz/
250 B.C.,bc,43,-250,,393627,I34118,Marcus Aemilius Lepidus //
400 B.C.,bc,43,-400,,561339,I35995,Antiochus //
1095,medieval_late,43,1095,Post-1000 AD (should be trimmed): 1095,649656,I40381,Saul /Ibn Tibbon/
500 B.C.,bc,42,-500,,2482862,I65243,Philip of Macedon //
250,ad_standard,42,250,,484374,I35055,Lucius Caesonius Lucillus Macer Rufinianus //
1115,medieval_late,42,1115,Post-1000 AD (should be trimmed): 1115,568300,I36163,D. Ausindo Ximeno //
1005,medieval_late,42,1005,Post-1000 AD (should be trimmed): 1005,952821,I46230,/González de Figueroa/
350 B.C.,bc,41,-350,,562326,I36005,Publius Cornelius Rufinus //
1035,medieval_late,41,1035,Post-1000 AD (should be trimmed): 1035,709012,I41660,Bonadona /Perfet (1st)/
1210,medieval_late,40,1210,Post-1000 AD (should be trimmed): 1210,657261,I40497,יונה /בן אברהם/
ABT 1230,medieval_late,40,1230,Post-1000 AD (should be trimmed): 1230,656792,I40491,Daniel ben Shemtob Annyas ben Shemtob //
1105,medieval_late,39,1105,Post-1000 AD (should be trimmed): 1105,653061,I40428,Yahya /ibn Da'ud/
985,ad_standard,39,985,,854492,I44594,Al Hassan /Al Idrees/
1 JAN 1130,medieval_late,39,1130,Post-1000 AD (should be trimmed): 1130,1239296,I49502,Gonçalo Rodrigues da Palmeira //
150,ad_standard,38,150,,269171,I31408,Aquilia Blaesilla //
1055,medieval_late,37,1055,Post-1000 AD (should be trimmed): 1055,645787,I40321,Muhsin /ibn Qaid al-Ashir/
1195,medieval_late,37,1195,Post-1000 AD (should be trimmed): 1195,1034738,I47145,Estevainha Martins da Silva //
1 JAN 200,ad_standard,37,200,,1431143,I51996,Artabanus IV of Parthia //
ABT 1250,medieval_late,37,1250,Post-1000 AD (should be trimmed): 1250,57019,I9771,"Prativyoma, King of Kosala //"
ABT 1200,medieval_late,37,1200,Post-1000 AD (should be trimmed): 1200,662413,I40586,Ibn Yaḥyā ... //
920,ad_standard,36,920,,469474,I34841,Hermenegildo Gutiérrez //
1125,medieval_late,36,1125,Post-1000 AD (should be trimmed): 1125,651538,I40404,Abraham ben Judah Ibn Ezra //
960,ad_standard,35,960,,702212,I41517,Yosef ben Hai /MeRomi/
1182,medieval_late,35,1182,Post-1000 AD (should be trimmed): 1182,992412,I46642,Nuno /Soares/
1116,medieval_late,35,1116,Post-1000 AD (should be trimmed): 1116,993931,I46661,"/Fafes de Lanhoso, o ""Velho""/"
1 JAN 1101,medieval_late,35,1101,Post-1000 AD (should be trimmed): 1101,1420292,I51873,Urraca of Zamora //
1260,medieval_late,34,1260,Post-1000 AD (should be trimmed): 1260,712186,I41738,קלרה /הלוי/
1 JAN 501,ad_standard,34,501,,1264232,I49790,Barrah bint Abdul Uzza //
1205,medieval_late,33,1205,Post-1000 AD (should be trimmed): 1205,654609,I40449,רבינו יוסף הנשיא /הלוי/
ABT 1160,medieval_late,33,1160,Post-1000 AD (should be trimmed): 1160,645216,I40311,Abu al-Barakāt Nethan'el /ben Mevorakh (Mubārak)/
ABT 1210,medieval_late,33,1210,Post-1000 AD (should be trimmed): 1210,665514,I40644,Hiyya /ibn Yahya ibn Ya'ish/
1270,medieval_late,32,1270,Post-1000 AD (should be trimmed): 1270,70006,I10308,Maathorneferure /Placeholder surname/
1154,medieval_late,31,1154,Post-1000 AD (should be trimmed): 1154,568598,I36171,Bonifácia /Ximeno/
910,ad_standard,31,910,,877599,I45240,David /ben Kohen Sedeq/
1198,medieval_late,31,1198,Post-1000 AD (should be trimmed): 1198,1153910,I48515,Dolça de So /de Pallars Jussà/
1 JAN 601,ad_standard,31,601,,1265040,I49806,Zaynab bint Maz'un //
1199,medieval_late,31,1199,Post-1000 AD (should be trimmed): 1199,1527566,I53017,Sancho Díaz de Haro //
1 JAN 1300,medieval_late,31,1300,Post-1000 AD (should be trimmed): 1300,1950069,I57601,Alice of Armenia //
ABT 1130,medieval_late,31,1130,Post-1000 AD (should be trimmed): 1130,568377,I36164,Maria /Godereis de Castellane/
ABT 1180,medieval_late,31,1180,Post-1000 AD (should be trimmed): 1180,653159,I40429,"Abraham ibn Da'ud haLevi, RABaD I //"
1017,medieval_late,30,1017,Post-1000 AD (should be trimmed): 1017,41239,I8894,Maharaja Sriwijaya XIV - Sri Mara-Wijayottunggawarman (1008–1017) /Placeholder surname/
940,ad_standard,30,940,,636164,I40155,Yitzhak /ben Josiah al-Hassan/
1099,medieval_late,30,1099,Post-1000 AD (should be trimmed): 1099,650078,I40389,Abū ʿAmr Yosef /Ibn Qamni’el/
925,ad_standard,30,925,,892571,I45649,Peretz Gaon //
1165,medieval_late,30,1165,Post-1000 AD (should be trimmed): 1165,1006648,I46819,Osório /Garcia/
1 JAN 1060,medieval_late,30,1060,Post-1000 AD (should be trimmed): 1060,1411320,I51771,Chaghri Beg //
450 B.C.,bc,29,-450,,2484757,I65268,Seuthes I //
1215,medieval_late,29,1215,Post-1000 AD (should be trimmed): 1215,146360,I24200,Isabel //
955,ad_standard,29,955,,703447,I41533,unknown //
1133,medieval_late,29,1133,Post-1000 AD (should be trimmed): 1133,1011952,I46893,Gonsalo /de Giron/
1137,medieval_late,29,1137,Post-1000 AD (should be trimmed): 1137,1026957,I47058,Paio /Mendes/
1 JAN 1160,medieval_late,29,1160,Post-1000 AD (should be trimmed): 1160,1565599,I53413,Géraud III of Armagnac //
1176,medieval_late,28,1176,Post-1000 AD (should be trimmed): 1176,1038075,I47195,Suero /Ximénez Bernardo del Caso/
1 JAN 801,ad_standard,28,801,,1307817,I50599,Al-Qasim ibn Harun al-Rashid //
1 JAN 1050,medieval_late,28,1050,Post-1000 AD (should be trimmed): 1050,1428350,I51960,Elisabet de Nimes //
1 JAN 1150,medieval_late,28,1150,Post-1000 AD (should be trimmed): 1150,1617759,I54000,Aimerico Manrique de Lara //
ABT 1000,ad_standard,28,1000,,51271,I9437,Kinnarasva //
ABT 1220,medieval_late,28,1220,Post-1000 AD (should be trimmed): 1220,654471,I40447,"Bonastrug ""Astrug"" ça Porta /Saltell/"
1 JAN 400,ad_standard,27,400,,224795,I29981,Aspar //
995,ad_standard,27,995,,641763,I40252,Abul-Fat'h al-Mansur /ibn Yusif Buluggin/
1103,medieval_late,27,1103,Post-1000 AD (should be trimmed): 1103,652068,I40411,"wife, Zerachya II /de Girona/"
870,ad_standard,27,870,,937573,I46077,Guntina (Onneca) /Lucidiz/
1152,medieval_late,27,1152,Post-1000 AD (should be trimmed): 1152,1139008,I48352,María /García de Villamayor/
1 JAN 1020,medieval_late,27,1020,Post-1000 AD (should be trimmed): 1020,1150726,I48497,Almodis de la Marche //
999,ad_standard,27,999,,1372133,I51349,Nuño Fernández //
1192,medieval_late,27,1192,Post-1000 AD (should be trimmed): 1192,1757228,I55487,Tutush II //
ABT 1070,medieval_late,27,1070,Post-1000 AD (should be trimmed): 1070,640737,I40236,"Yehudah ""Zakhai"" Natan /ben Avraham al-Andalusi/"
550 B.C.,bc,26,-550,,2478498,I65181,Alcetas I of Macedon //
860,ad_standard,26,860,,43423,I9068,Balaputradewa //
1062,medieval_late,26,1062,Post-1000 AD (should be trimmed): 1062,645905,I40324,Ma‘ādh Abū Tamīm ibn Badis al-Mu‘izz /li Dīn Allāh/
1096,medieval_late,26,1096,Post-1000 AD (should be trimmed): 1096,654958,I40456,Sheshet /Perfet/
1102,medieval_late,26,1102,Post-1000 AD (should be trimmed): 1102,994560,I46669,Elvira /Martins de Riba de Vizela/
1290,medieval_late,26,1290,Post-1000 AD (should be trimmed): 1290,1095760,I47875,/Raposo Pimentel/
1118,medieval_late,26,1118,Post-1000 AD (should be trimmed): 1118,1215623,I49288,"D.Gualdim Pais, 4º Mestre dos Templários em Portugal //"
ABT 100,ad_standard,26,100,,259602,I31110,Fulvius /Pius/
ABT 1100,medieval_late,26,1100,Post-1000 AD (should be trimmed): 1100,636270,I40157,Levi /ben Yapheth ben Semah/
ABT 1020,medieval_late,26,1020,Post-1000 AD (should be trimmed): 1020,639740,I40215,"Daniel ""Zakkai"" /ben Azariah/"
ABT 1240,medieval_late,26,1240,Post-1000 AD (should be trimmed): 1240,660355,I40546,Abraham Vidal /Benveniste/
200,ad_standard,25,200,,481685,I35015,Titus Flavius Titianus //
965,ad_standard,25,965,,873221,I45123,Ali b. Hossein Al-Sharif_al-Murtada //
890,ad_standard,25,890,,1008847,I46845,Zayd /ibn 'Abd Allâh/
1 JAN 970,ad_standard,25,970,,1337506,I50977,Fernán González of Castile //
1 JAN 1201,medieval_late,25,1201,Post-1000 AD (should be trimmed): 1201,1756362,I55474,Rusudan //
ABT 1150,medieval_late,25,1150,Post-1000 AD (should be trimmed): 1150,53669,I9624,"Bhanuratha, King of Kosala /Placeholder surname/"
ABT 1110,medieval_late,25,1110,Post-1000 AD (should be trimmed): 1110,641137,I40240,Samuel /ben Azariah Gaon/
1016,medieval_late,24,1016,Post-1000 AD (should be trimmed): 1016,40853,I8872,Maharaja Medang XVI - Dharmawangsa Teguh (991-1016) /Placeholder surname/
1225,medieval_late,24,1225,Post-1000 AD (should be trimmed): 1225,663107,I40597,רבינו פנחס /הלוי/
1034,medieval_late,24,1034,Post-1000 AD (should be trimmed): 1034,704425,I41554,Samuel /Ha-Cohen/
680,ad_standard,24,680,,791154,I43132,Abu Bakr bin al-Hasan //
1201,medieval_late,24,1201,Post-1000 AD (should be trimmed): 1201,1097148,I47898,Sancha /Peres de Vasconcelos/
1068,medieval_late,24,1068,Post-1000 AD (should be trimmed): 1068,1138474,I48345,Fernando /de Pamplona/
945,ad_standard,24,945,,1158949,I48556,"Walchaire de Narbonne, I. baron de Villeneuve //"
1148,medieval_late,24,1148,Post-1000 AD (should be trimmed): 1148,1244949,I49576,Rodrigo /Garcés de Aza/
1129,medieval_late,24,1129,Post-1000 AD (should be trimmed): 1129,1247676,I49602,Fernando /Fernández de Castro/
1 JAN 701,ad_standard,24,701,,1285277,I50203,Atikah bint Yazid //
ABT 120,ad_standard,24,120,,264850,I31259,Arria //
ABT 970,ad_standard,24,970,,641815,I40253,Yosef ben Shmuel HaLevi HaNagid //
ABT 1140,medieval_late,24,1140,Post-1000 AD (should be trimmed): 1140,651926,I40409,Yakob Shlomo ben Sheshet //
ABT 1260,medieval_late,24,1260,Post-1000 AD (should be trimmed): 1260,669724,I40717,Gerson /HaYarhi/
12 OCT 680,ad_standard,23,680,,292946,I32178,Husayn ibn Ali //
1028,medieval_late,23,1028,Post-1000 AD (should be trimmed): 1028,947617,I46163,Arnaldo //
915,ad_standard,23,915,,951498,I46212,Egas /Moniz/
1088,medieval_late,23,1088,Post-1000 AD (should be trimmed): 1088,975171,I46445,Géraud Ier Seigneur de /Cabrera/
1172,medieval_late,23,1172,Post-1000 AD (should be trimmed): 1172,993943,I46661,"/Fafes de Lanhoso, o ""Velho""/"
1087,medieval_late,23,1087,Post-1000 AD (should be trimmed): 1087,1049329,I47335,Remón /Pérez de Figueroa/
1093,medieval_late,23,1093,Post-1000 AD (should be trimmed): 1093,1074129,I47600,Lope /Íñiguez/
1173,medieval_late,23,1173,Post-1000 AD (should be trimmed): 1173,1169379,I48667,Elvira Teresa /Rodríguez Girón/
1144,medieval_late,23,1144,Post-1000 AD (should be trimmed): 1144,1253001,I49657,Ramiro /Ponce de Minerva/
1132,medieval_late,23,1132,Post-1000 AD (should be trimmed): 1132,1573286,I53499,Guerau II de Cabrera //
ABT 1500,medieval_late,23,1500,Post-1000 AD (should be trimmed): 1500,73561,I11213,"Prasusruta, King of Kosala /Placeholder surname/"
ABT 150,ad_standard,23,150,,250188,I30762,Tiberius Claudius Pompeianus Quintianus //
ABT 1120,medieval_late,23,1120,Post-1000 AD (should be trimmed): 1120,568134,I36161,Teresa /Ausendes/
160 B.C.,bc,22,-160,,2561816,I66105,Nicomedes II of Bithynia //
624,ad_standard,22,624,,46576,I9200,"Raja Kalingga Utara I (695-702), Maharaja Galuh II (702-709) - Amara /Placeholder surname/"
1136,medieval_late,22,1136,Post-1000 AD (should be trimmed): 1136,654896,I40455,Isaac Benveniste Saltiel //
1245,medieval_late,22,1245,Post-1000 AD (should be trimmed): 1245,669330,I40709,Shlomo ben Yahya ibn Yahya //
1147,medieval_late,22,1147,Post-1000 AD (should be trimmed): 1147,710586,I41700,Bonadona /Gracian Hen/
300,ad_standard,22,300,,782026,I43038,יהודה השלישי /בן גמליאל הרביעי/
1128,medieval_late,22,1128,Post-1000 AD (should be trimmed): 1128,990986,I46627,Gontrode /Muniz/
1092,medieval_late,22,1092,Post-1000 AD (should be trimmed): 1092,1054331,I47402,Ordoño /García de Aza/
1166,medieval_late,22,1166,Post-1000 AD (should be trimmed): 1166,1247996,I49607,Alvaro /Rodriguez de Sarria/
1 JAN 995,ad_standard,22,995,,1372936,I51357,Mayor of Castile //
1 JAN 1095,medieval_late,22,1095,Post-1000 AD (should be trimmed): 1095,1426329,I51938,Gerald II of Armagnac //
ABT 940,ad_standard,22,940,,634464,I40130,Josiah al-Hasan /ben Zakkai/
ABT 960,ad_standard,22,960,,638000,I40181,Yekuthiel /ben Isaac Ibn Ḥasan/
ABT 1080,medieval_late,22,1080,Post-1000 AD (should be trimmed): 1080,642837,I40271,"Yehudah ""Judah"" /ben Mevorakh/"
ABT 1040,medieval_late,22,1040,Post-1000 AD (should be trimmed): 1040,642898,I40272,Abū 'l-Faḍl Mevorakh /(Mubārak) ben Saʿadya/
ABT 1170,medieval_late,22,1170,Post-1000 AD (should be trimmed): 1170,647947,I40353,Nethan'el /ben Moshe HaLevi/
1 JAN 700 B.C.,bc,21,-1,,451932,I34525,Phraortes //
1 JAN 1 B.C.,bc,21,-1,,2603364,I66604,Ariarathes VIII of Cappadocia //
1012,medieval_late,21,1012,Post-1000 AD (should be trimmed): 1012,41658,I8925,Maharaja Sunda XVII - Brajawisesa (989-1012) /Placeholder surname/
1053,medieval_late,21,1053,Post-1000 AD (should be trimmed): 1053,639549,I40212,Abu Isḥāq Ibrahim Sahl /ibn al-Nag'hdīlah ibn Ata al-yahūdī/
1086,medieval_late,21,1086,Post-1000 AD (should be trimmed): 1086,644885,I40306,Abu Bakr Muhammad /ibn Yaʿīs̲h̲ al-Asadī/
1106,medieval_late,21,1106,Post-1000 AD (should be trimmed): 1106,647703,I40349,Abū ’l Ḥasan Me'ir /Ibn Abī ʾl-ʿAysh/
1255,medieval_late,21,1255,Post-1000 AD (should be trimmed): 1255,665395,I40641,Don Soliman ibn Ya'ish //
1280,medieval_late,21,1280,Post-1000 AD (should be trimmed): 1280,678881,I40902,Malkhi Nasi /ben Sar Shalom/
935,ad_standard,21,935,,702625,I41521,Samuel Ha-Gaon //
1064,medieval_late,21,1064,Post-1000 AD (should be trimmed): 1064,953272,I46237,Elvira /Rodríguez/
1071,medieval_late,21,1071,Post-1000 AD (should be trimmed): 1071,997668,I46717,Pedro /Froilaz de Trava/
1054,medieval_late,21,1054,Post-1000 AD (should be trimmed): 1054,1010581,I46876,Fortun /Sanchez/
1108,medieval_late,21,1108,Post-1000 AD (should be trimmed): 1108,1027792,I47066,Maria /Soares/
1228,medieval_late,21,1228,Post-1000 AD (should be trimmed): 1228,1034346,I47140,Estevão /Soares da Silva/
1 JAN 1170,medieval_late,21,1170,Post-1000 AD (should be trimmed): 1170,1044111,I47277,Maria Pais de Ribeira //
1126,medieval_late,21,1126,Post-1000 AD (should be trimmed): 1126,1053059,I47390,Pedro Froilaz de Traba //
1146,medieval_late,21,1146,Post-1000 AD (should be trimmed): 1146,1253125,I49659,Sancha Ponce /de Minerva/
1 JAN 1001,medieval_late,21,1001,Post-1000 AD (should be trimmed): 1001,1385055,I51485,Mikail of Kınık tribe //
1 JAN 1110,medieval_late,21,1110,Post-1000 AD (should be trimmed): 1110,1476407,I52463,Bernard III of Armagnac //
1 JAN 1191,medieval_late,21,1191,Post-1000 AD (should be trimmed): 1191,1625300,I54091,"William V, Marquess of Montferrat //"
1218,medieval_late,21,1218,Post-1000 AD (should be trimmed): 1218,1951986,I57632,William I of Baux //
ABT 30,unknown,21,,,283464,I31906,Consul (69) - Gnaeus Arrius Antoninus //
ABT 165,ad_standard,21,165,,479942,I34989,Fundanius Vitrasius //
800 B.C.,bc,20,-800,,455271,I34561,Rhea Silvia //
1 JAN 50 B.C.,bc,20,-1,,525299,I35617,Servilia //
600 B.C.,bc,20,-600,,2487738,I65307,Seraiah //
1097,medieval_late,20,1097,Post-1000 AD (should be trimmed): 1097,303700,I32441,Nizar //
930,ad_standard,20,930,,641475,I40247,Salmon /ben Hasdai (Yerūḥam) ben Hezekiah/
1186,medieval_late,20,1186,Post-1000 AD (should be trimmed): 1186,658249,I40510,Benvenist /ben Abraham de la Cavalleria/
875,ad_standard,20,875,,821829,I43753,Abdullah bin /Qasim/
1047,medieval_late,20,1047,Post-1000 AD (should be trimmed): 1047,1015537,I46935,Munio /González de Alava/
1138,medieval_late,20,1138,Post-1000 AD (should be trimmed): 1138,1030498,I47094,Mendo Egas /Viegas/
1124,medieval_late,20,1124,Post-1000 AD (should be trimmed): 1124,1048888,I47327,María Teresa /Ordóñez/
1184,medieval_late,20,1184,Post-1000 AD (should be trimmed): 1184,1187085,I48902,Pedro Fernández ¨Fuentecalada¨ //
1 JAN 1148,medieval_late,20,1148,Post-1000 AD (should be trimmed): 1148,1247244,I49599,Alphonse Jourdain //
1 JAN 300,ad_standard,20,300,,1338948,I50992,Hormizd II //
1 JAN 940,ad_standard,20,940,,1421849,I51891,Hugh Capet of France //
1 JAN 1045,medieval_late,20,1045,Post-1000 AD (should be trimmed): 1045,1424266,I51915,Adelheid II van Franken //
1 JAN 1090,medieval_late,20,1090,Post-1000 AD (should be trimmed): 1090,1426729,I51942,"Centule V, Viscount of Béarn //"
1094,medieval_late,20,1094,Post-1000 AD (should be trimmed): 1094,1481637,I52518,Letgarde de Tost //
1 JAN 1120,medieval_late,20,1120,Post-1000 AD (should be trimmed): 1120,1524514,I52984,Fernando Fernández de Carrión //
1162,medieval_late,20,1162,Post-1000 AD (should be trimmed): 1162,1686568,I54720,Renier of Montferrat //
ABT 1300,medieval_late,20,1300,Post-1000 AD (should be trimmed): 1300,37756,I8680,Prabu Kertawardhana /Placeholder surname/
ABT 1050,medieval_late,20,1050,Post-1000 AD (should be trimmed): 1050,52108,I9509,SUNAKSHTRA /MARUDEVA/
ABT 80,unknown,20,,,272466,I31539,Domitia Lucilla Major //
ABT 45,unknown,20,,,280391,I31830,Gaius Ummidius Quadratus /Sallustius/
1350,medieval_late,19,1350,Post-1000 AD (should be trimmed): 1350,38028,I8692,Gayatri Rajapatni /Placeholder surname/
895,ad_standard,19,895,,43116,I9054,Maharaja Sunda IX - Arya Kadaton (891-895) /Placeholder surname/
1275,medieval_late,19,1275,Post-1000 AD (should be trimmed): 1275,57584,I9793,Vatsavyuha /Arukshay/
865,ad_standard,19,865,,212358,I29462,Gutier Menéndez //
975,ad_standard,19,975,,641704,I40251,Hammad /ibn Buluggin/
1141,medieval_late,19,1141,Post-1000 AD (should be trimmed): 1141,650883,I40392,Abū ʿAmr Yosef /Ibn al-Muhājir/
1196,medieval_late,19,1196,Post-1000 AD (should be trimmed): 1196,653069,I40428,Yahya /ibn Da'ud/
1114,medieval_late,19,1114,Post-1000 AD (should be trimmed): 1114,707689,I41629,Qasmūna /bat Ismā‛īl HaLevi HaNagid/
1078,medieval_late,19,1078,Post-1000 AD (should be trimmed): 1078,991452,I46632,Soares I //
1131,medieval_late,19,1131,Post-1000 AD (should be trimmed): 1131,1052195,I47376,Gutierre /Bermúdez/
1 JAN 990,ad_standard,19,990,,1059147,I47474,Oliba Cabreta //
1189,medieval_late,19,1189,Post-1000 AD (should be trimmed): 1189,1116789,I48130,Sancho I of Portugal //
