Category,Date_Pattern,Occurrence_Count,Needs_Standardization
standard_ad,1128,22,NO
standard_ad,1092,22,NO
standard_ad,1166,22,NO
standard_ad,1 JAN 995,22,NO
standard_ad,1 JAN 1095,22,NO
standard_ad,1012,21,NO
standard_ad,1053,21,NO
standard_ad,1086,21,NO
standard_ad,1106,21,NO
standard_ad,1255,21,NO
standard_ad,1280,21,NO
standard_ad,935,21,NO
standard_ad,1064,21,NO
standard_ad,1071,21,NO
standard_ad,1054,21,NO
standard_ad,1108,21,NO
standard_ad,1228,21,NO
standard_ad,1 JAN 1170,21,NO
standard_ad,1126,21,NO
standard_ad,1146,21,NO
standard_ad,1 JAN 1001,21,NO
standard_ad,1 JAN 1110,21,NO
standard_ad,1 JAN 1191,21,NO
standard_ad,1218,21,NO
standard_ad,1097,20,NO
standard_ad,930,20,NO
standard_ad,1186,20,NO
standard_ad,875,20,NO
standard_ad,1047,20,NO
standard_ad,1138,20,NO
standard_ad,1124,20,NO
standard_ad,1184,20,NO
standard_ad,1 JAN 1148,20,NO
standard_ad,1 JAN 300,20,NO
standard_ad,1 JAN 940,20,NO
standard_ad,1 JAN 1045,20,NO
standard_ad,1 JAN 1090,20,NO
standard_ad,1094,20,NO
standard_ad,1 JAN 1120,20,NO
standard_ad,1162,20,NO
standard_ad,1350,19,NO
standard_ad,895,19,NO
standard_ad,1275,19,NO
standard_ad,865,19,NO
standard_ad,975,19,NO
standard_ad,1141,19,NO
standard_ad,1196,19,NO
standard_ad,1114,19,NO
standard_ad,1078,19,NO
standard_ad,1131,19,NO
standard_ad,1 JAN 990,19,NO
standard_ad,1189,19,NO
standard_ad,1204,19,NO
standard_ad,1122,19,NO
standard_ad,1156,19,NO
standard_ad,1074,19,NO
standard_ad,1178,19,NO
standard_ad,1 JAN 1065,19,NO
standard_ad,1 JAN 1140,19,NO
standard_ad,1244,19,NO
standard_ad,1 JAN 1118,19,NO
standard_ad,1 JAN 1215,19,NO
standard_ad,1157,18,NO
standard_ad,1042,18,NO
standard_ad,640,18,NO
standard_ad,820,18,NO
standard_ad,1018,18,NO
standard_ad,978,18,NO
standard_ad,1098,18,NO
standard_ad,1295,18,NO
standard_ad,830,18,NO
standard_ad,840,18,NO
standard_ad,880,18,NO
standard_ad,994,18,NO
standard_ad,1039,18,NO
standard_ad,1142,18,NO
standard_ad,1224,18,NO
standard_ad,1 JAN 1080,18,NO
standard_ad,1164,18,NO
standard_ad,1 JAN 880,18,NO
standard_ad,1 JAN 1040,18,NO
standard_ad,1 JAN 1070,18,NO
standard_ad,1 JAN 1115,18,NO
standard_ad,1 JAN 1135,18,NO
standard_ad,1 JAN 1180,18,NO
standard_ad,1044,17,NO
standard_ad,1272,17,NO
standard_ad,1117,17,NO
standard_ad,1059,17,NO
standard_ad,570,17,NO
standard_ad,1,17,NO
standard_ad,997,17,NO
standard_ad,1058,17,NO
standard_ad,1121,17,NO
standard_ad,1227,17,NO
standard_ad,1235,17,NO
standard_ad,1305,17,NO
standard_ad,905,17,NO
standard_ad,962,17,NO
standard_ad,1 JAN 1075,17,NO
standard_ad,1163,17,NO
standard_ad,1 JAN 1103,17,NO
standard_ad,1 JAN 1125,17,NO
standard_ad,1014,17,NO
standard_ad,1 JAN 920,17,NO
standard_ad,1 JAN 950,17,NO
standard_ad,1 JAN 1030,17,NO
standard_ad,1 JAN 1205,17,NO
standard_ad,1 JAN 1165,17,NO
standard_ad,1134,17,NO
standard_ad,1 JAN 1190,17,NO
standard_ad,1 JAN 1220,17,NO
standard_ad,1400,16,NO
standard_ad,1104,16,NO
standard_ad,988,16,NO
standard_ad,1450,16,NO
standard_ad,740,16,NO
standard_ad,1057,16,NO
standard_ad,1079,16,NO
standard_ad,1139,16,NO
standard_ad,1209,16,NO
standard_ad,1340,16,NO
standard_ad,670,16,NO
standard_ad,836,16,NO
standard_ad,1056,16,NO
standard_ad,1076,16,NO
standard_ad,810,16,NO
standard_ad,932,16,NO
standard_ad,1024,16,NO
standard_ad,898,16,NO
standard_ad,1022,16,NO
standard_ad,1214,16,NO
standard_ad,1063,16,NO
standard_ad,1258,16,NO
standard_ad,1159,16,NO
standard_ad,1112,16,NO
standard_ad,1191,16,NO
standard_ad,1048,16,NO
standard_ad,1 JAN 1093,16,NO
standard_ad,1143,16,NO
standard_ad,580,16,NO
standard_ad,1 JAN 960,16,NO
standard_ad,1 JAN 1010,16,NO
standard_ad,1 JAN 1025,16,NO
standard_ad,1158,16,NO
standard_ad,1 JAN 930,16,NO
standard_ad,1 JAN 1055,16,NO
standard_ad,1168,16,NO
standard_ad,1167,16,NO
standard_ad,1 JAN 1195,16,NO
standard_ad,1 JAN 1174,16,NO
standard_ad,1247,16,NO
standard_ad,1 JAN 1230,16,NO
standard_ad,1 JAN 1166,16,NO
standard_ad,1223,16,NO
standard_ad,1216,16,NO
standard_ad,1169,15,NO
standard_ad,1194,15,NO
standard_ad,1038,15,NO
standard_ad,1027,15,NO
standard_ad,1019,15,NO
standard_ad,1 JAN 301,15,NO
standard_ad,10 OCT 680,15,NO
standard_ad,938,15,NO
standard_ad,1113,15,NO
standard_ad,1268,15,NO
standard_ad,1330,15,NO
standard_ad,1066,15,NO
standard_ad,1003,15,NO
standard_ad,986,15,NO
standard_ad,958,15,NO
standard_ad,1211,15,NO
standard_ad,1072,15,NO
standard_ad,1127,15,NO
standard_ad,1187,15,NO
standard_ad,1213,15,NO
standard_ad,1265,15,NO
standard_ad,1193,15,NO
standard_ad,1179,15,NO
standard_ad,1123,15,NO
standard_ad,1161,15,NO
standard_ad,1 JAN 201,15,NO
standard_ad,1 JAN 901,15,NO
standard_ad,1 JAN 1052,15,NO
standard_ad,1069,15,NO
standard_ad,1242,15,NO
standard_ad,1 JAN 1137,15,NO
standard_ad,1188,15,NO
standard_ad,1248,15,NO
standard_ad,1222,14,NO
standard_ad,961,14,NO
standard_ad,770,14,NO
standard_ad,1315,14,NO
standard_ad,1 JAN 401,14,NO
standard_ad,70,14,NO
standard_ad,943,14,NO
standard_ad,1236,14,NO
standard_ad,1151,14,NO
standard_ad,1298,14,NO
standard_ad,690,14,NO
standard_ad,710,14,NO
standard_ad,937,14,NO
standard_ad,1 JAN 480,14,NO
standard_ad,1002,14,NO
standard_ad,1032,14,NO
standard_ad,1282,14,NO
standard_ad,1107,14,NO
standard_ad,1177,14,NO
standard_ad,1119,14,NO
standard_ad,1262,14,NO
standard_ad,1226,14,NO
standard_ad,1 JAN 910,14,NO
standard_ad,1 JAN 1033,14,NO
standard_ad,1153,14,NO
standard_ad,1 JAN 1175,14,NO
standard_ad,1 JAN 1155,14,NO
standard_ad,1206,14,NO
standard_ad,1286,13,NO
standard_ad,1008,13,NO
standard_ad,1560,13,NO
standard_ad,1500,13,NO
standard_ad,1490,13,NO
standard_ad,1460,13,NO
standard_ad,1067,13,NO
standard_ad,1232,13,NO
standard_ad,1276,13,NO
standard_ad,520,13,NO
standard_ad,1237,13,NO
standard_ad,951,13,NO
standard_ad,1037,13,NO
standard_ad,1208,13,NO
standard_ad,1006,13,NO
standard_ad,982,13,NO
standard_ad,1041,13,NO
standard_ad,1111,13,NO
standard_ad,1026,13,NO
standard_ad,1202,13,NO
standard_ad,1023,13,NO
standard_ad,1004,13,NO
standard_ad,1183,13,NO
standard_ad,1 JAN 1042,13,NO
standard_ad,1246,13,NO
standard_ad,1197,13,NO
standard_ad,1073,13,NO
standard_ad,1046,13,NO
standard_ad,1252,13,NO
standard_ad,1 JAN 1016,13,NO
standard_ad,1 JAN 101,13,NO
standard_ad,1 JAN 1097,13,NO
standard_ad,1 JAN 1031,13,NO
standard_ad,1 JAN 1145,13,NO
standard_ad,1 JAN 1153,13,NO
standard_ad,1 JAN 1105,13,NO
standard_ad,1 JAN 1128,13,NO
standard_ad,1 JAN 1186,13,NO
standard_ad,1 JAN 1211,13,NO
standard_ad,1 JAN 1210,13,NO
standard_ad,1 JAN 1196,13,NO
standard_ad,1310,13,NO
standard_ad,1 JAN 1240,13,NO
standard_ad,1 JAN 1,13,NO
standard_ad,947,12,NO
standard_ad,1415,12,NO
standard_ad,1360,12,NO
standard_ad,610,12,NO
standard_ad,633,12,NO
standard_ad,625,12,NO
standard_ad,685,12,NO
standard_ad,560,12,NO
standard_ad,882,12,NO
standard_ad,1109,12,NO
standard_ad,790,12,NO
standard_ad,963,12,NO
standard_ad,883,12,NO
standard_ad,844,12,NO
standard_ad,874,12,NO
standard_ad,1052,12,NO
standard_ad,1007,12,NO
standard_ad,1 JAN 1023,12,NO
standard_ad,1083,12,NO
standard_ad,1285,12,NO
standard_ad,1 JAN 1035,12,NO
standard_ad,1 JAN 890,12,NO
standard_ad,1 JAN 830,12,NO
standard_ad,1 JAN 980,12,NO
standard_ad,1 JAN 962,12,NO
standard_ad,1 JAN 1172,12,NO
standard_ad,1084,12,NO
standard_ad,1 JAN 1142,12,NO
standard_ad,1 JAN 985,12,NO
standard_ad,1181,12,NO
standard_ad,1 JAN 1187,12,NO
standard_ad,1 JAN 1204,12,NO
standard_ad,1 JAN 1208,12,NO
standard_ad,1261,12,NO
standard_ad,1 JAN 38,12,NO
standard_ad,1091,11,NO
standard_ad,661,11,NO
standard_ad,1540,11,NO
standard_ad,1430,11,NO
standard_ad,1565,11,NO
standard_ad,934,11,NO
standard_ad,120,11,NO
standard_ad,630,11,NO
standard_ad,1 JAN 630,11,NO
standard_ad,25,11,NO
standard_ad,655,11,NO
standard_ad,165,11,NO
standard_ad,712,11,NO
standard_ad,917,11,NO
standard_ad,1013,11,NO
standard_ad,1029,11,NO
standard_ad,1288,11,NO
standard_ad,1355,11,NO
standard_ad,590,11,NO
standard_ad,480,11,NO
standard_ad,936,11,NO
standard_ad,993,11,NO
standard_ad,911,11,NO
standard_ad,929,11,NO
standard_ad,972,11,NO
standard_ad,1077,11,NO
standard_ad,1 JAN 1066,11,NO
standard_ad,1043,11,NO
standard_ad,1217,11,NO
standard_ad,1267,11,NO
standard_ad,1257,11,NO
standard_ad,1271,11,NO
standard_ad,1 JAN 636,11,NO
standard_ad,845,11,NO
standard_ad,1 JAN 975,11,NO
standard_ad,1 JAN 955,11,NO
standard_ad,1 JAN 997,11,NO
standard_ad,1049,11,NO
standard_ad,1 JAN 1032,11,NO
standard_ad,1 JAN 942,11,NO
standard_ad,1 JAN 1072,11,NO
standard_ad,1 JAN 1048,11,NO
standard_ad,1051,11,NO
standard_ad,1 JAN 1088,11,NO
standard_ad,1 JAN 1173,11,NO
standard_ad,1 JAN 1182,11,NO
standard_ad,1 JAN 1104,11,NO
standard_ad,1 JAN 1202,11,NO
standard_ad,1 JAN 1194,11,NO
standard_ad,1219,11,NO
standard_ad,1233,11,NO
standard_ad,1 JAN 1217,11,NO
standard_ad,1221,11,NO
standard_ad,1332,11,NO
standard_ad,1283,11,NO
standard_ad,1011,10,NO
standard_ad,891,10,NO
standard_ad,847,10,NO
standard_ad,795,10,NO
standard_ad,783,10,NO
standard_ad,1440,10,NO
standard_ad,1550,10,NO
standard_ad,10,10,NO
standard_ad,33,10,NO
standard_ad,885,10,NO
standard_ad,896,10,NO
standard_ad,1293,10,NO
standard_ad,1325,10,NO
standard_ad,1264,10,NO
standard_ad,1357,10,NO
standard_ad,1314,10,NO
standard_ad,1470,10,NO
standard_ad,1445,10,NO
standard_ad,745,10,NO
standard_ad,818,10,NO
standard_ad,1 JAN 840,10,NO
standard_ad,933,10,NO
standard_ad,812,10,NO
standard_ad,956,10,NO
standard_ad,825,10,NO
standard_ad,788,10,NO
standard_ad,851,10,NO
standard_ad,852,10,NO
standard_ad,948,10,NO
standard_ad,984,10,NO
standard_ad,941,10,NO
standard_ad,835,10,NO
standard_ad,996,10,NO
standard_ad,1036,10,NO
standard_ad,1171,10,NO
standard_ad,1266,10,NO
standard_ad,1251,10,NO
standard_ad,1212,10,NO
standard_ad,1033,10,NO
standard_ad,755,10,NO
standard_ad,1312,10,NO
standard_ad,1174,10,NO
standard_ad,1 JAN 1185,10,NO
standard_ad,1 JAN 540,10,NO
standard_ad,1 JAN 610,10,NO
standard_ad,501,10,NO
standard_ad,1 JAN 850,10,NO
standard_ad,801,10,NO
standard_ad,1 JAN 968,10,NO
standard_ad,1 JAN 1092,10,NO
standard_ad,1 JAN 1015,10,NO
standard_ad,1 JAN 1087,10,NO
standard_ad,1 JAN 1143,10,NO
standard_ad,1 JAN 835,10,NO
standard_ad,1 JAN 935,10,NO
standard_ad,1 JAN 1036,10,NO
standard_ad,1 JAN 870,10,NO
standard_ad,1 JAN 1129,10,NO
standard_ad,1 JAN 1228,10,NO
standard_ad,1238,10,NO
standard_ad,1 JAN 1219,10,NO
standard_ad,1 JAN 1216,10,NO
standard_ad,1229,10,NO
standard_ad,1239,10,NO
standard_ad,1 JAN 1224,10,NO
standard_ad,1304,10,NO
standard_ad,1253,10,NO
standard_ad,1 JAN 66,10,NO
standard_ad,1241,10,NO
standard_ad,1 JAN 1249,10,NO
standard_ad,1328,9,NO
standard_ad,979,9,NO
standard_ad,1249,9,NO
standard_ad,954,9,NO
standard_ad,620,9,NO
standard_ad,1322,9,NO
standard_ad,1510,9,NO
standard_ad,1524,9,NO
standard_ad,1570,9,NO
standard_ad,1530,9,NO
standard_ad,1495,9,NO
standard_ad,1574,9,NO
standard_ad,1 JAN 460,9,NO
standard_ad,117,9,NO
standard_ad,565,9,NO
standard_ad,20,9,NO
standard_ad,842,9,NO
standard_ad,791,9,NO
standard_ad,180,9,NO
standard_ad,730,9,NO
standard_ad,805,9,NO
standard_ad,1263,9,NO
standard_ad,1420,9,NO
standard_ad,1572,9,NO
standard_ad,686,9,NO
standard_ad,440,9,NO
standard_ad,652,9,NO
standard_ad,789,9,NO
standard_ad,846,9,NO
standard_ad,780,9,NO
standard_ad,976,9,NO
standard_ad,1 JAN 810,9,NO
standard_ad,765,9,NO
standard_ad,973,9,NO
standard_ad,922,9,NO
standard_ad,893,9,NO
standard_ad,992,9,NO
standard_ad,887,9,NO
standard_ad,839,9,NO
standard_ad,966,9,NO
standard_ad,1082,9,NO
standard_ad,1313,9,NO
standard_ad,1 JAN 580,9,NO
standard_ad,1 JAN 590,9,NO
standard_ad,1 JAN 660,9,NO
standard_ad,701,9,NO
standard_ad,1 JAN 864,9,NO
standard_ad,1 JAN 845,9,NO
standard_ad,1 JAN 420,9,NO
standard_ad,889,9,NO
standard_ad,1 JAN 1068,9,NO
standard_ad,1 JAN 1037,9,NO
standard_ad,1 JAN 1054,9,NO
standard_ad,1 JAN 978,9,NO
standard_ad,1 JAN 877,9,NO
standard_ad,1 JAN 1014,9,NO
standard_ad,1 JAN 1136,9,NO
standard_ad,1 JAN 1126,9,NO
standard_ad,1 JAN 1162,9,NO
standard_ad,1 JAN 1108,9,NO
standard_ad,1 JAN 1151,9,NO
standard_ad,1 JAN 1178,9,NO
standard_ad,1 JAN 888,9,NO
standard_ad,1 JAN 1152,9,NO
standard_ad,1 JAN 1158,9,NO
standard_ad,1 JAN 1183,9,NO
standard_ad,1 JAN 1047,9,NO
standard_ad,1 JAN 1197,9,NO
standard_ad,1 JAN 1199,9,NO
standard_ad,1 JAN 1188,9,NO
standard_ad,1 JAN 1244,9,NO
standard_ad,1231,9,NO
standard_ad,1 JAN 1168,9,NO
standard_ad,1 JAN 1212,9,NO
standard_ad,1 JAN 1218,9,NO
standard_ad,1 JAN 1209,9,NO
standard_ad,1274,9,NO
standard_ad,1338,9,NO
standard_ad,1382,9,NO
standard_ad,1324,9,NO
standard_ad,1427,8,NO
standard_ad,1294,8,NO
standard_ad,1292,8,NO
standard_ad,1316,8,NO
standard_ad,718,8,NO
standard_ad,515,8,NO
standard_ad,110,8,NO
standard_ad,544,8,NO
standard_ad,1515,8,NO
standard_ad,1405,8,NO
standard_ad,1555,8,NO
standard_ad,1492,8,NO
standard_ad,1585,8,NO
standard_ad,1480,8,NO
standard_ad,1465,8,NO
standard_ad,1580,8,NO
standard_ad,1610,8,NO
standard_ad,1630,8,NO
standard_ad,510,8,NO
standard_ad,598,8,NO
standard_ad,585,8,NO
standard_ad,716,8,NO
standard_ad,1 JAN 388,8,NO
standard_ad,42,8,NO
standard_ad,660,8,NO
standard_ad,848,8,NO
standard_ad,1306,8,NO
standard_ad,1370,8,NO
standard_ad,1375,8,NO
standard_ad,1345,8,NO
standard_ad,628,8,NO
standard_ad,1362,8,NO
standard_ad,632,8,NO
standard_ad,530,8,NO
standard_ad,924,8,NO
standard_ad,695,8,NO
standard_ad,595,8,NO
standard_ad,837,8,NO
standard_ad,744,8,NO
standard_ad,912,8,NO
standard_ad,949,8,NO
standard_ad,873,8,NO
standard_ad,797,8,NO
standard_ad,824,8,NO
standard_ad,601,8,NO
standard_ad,888,8,NO
standard_ad,1 JAN 750,8,NO
standard_ad,918,8,NO
standard_ad,964,8,NO
standard_ad,923,8,NO
standard_ad,967,8,NO
standard_ad,855,8,NO
standard_ad,778,8,NO
standard_ad,1081,8,NO
standard_ad,971,8,NO
standard_ad,1256,8,NO
standard_ad,1 JAN 1177,8,NO
standard_ad,1 JAN 592,8,NO
standard_ad,1 JAN 593,8,NO
standard_ad,1 JAN 825,8,NO
standard_ad,1 JAN 560,8,NO
standard_ad,1 JAN 790,8,NO
standard_ad,1 JAN 961,8,NO
standard_ad,1 JAN 670,8,NO
standard_ad,1089,8,NO
standard_ad,1 JAN 981,8,NO
standard_ad,1 JAN 470,8,NO
standard_ad,1 JAN 1073,8,NO
standard_ad,1 JAN 1062,8,NO
standard_ad,1 JAN 965,8,NO
standard_ad,1 JAN 1057,8,NO
standard_ad,1 JAN 991,8,NO
standard_ad,1 JAN 945,8,NO
standard_ad,1 JAN 1024,8,NO
standard_ad,1 JAN 1046,8,NO
standard_ad,1 JAN 1085,8,NO
standard_ad,1 JAN 885,8,NO
standard_ad,1149,8,NO
standard_ad,1 JAN 1078,8,NO
standard_ad,1 JAN 1179,8,NO
standard_ad,1 JAN 1198,8,NO
standard_ad,1 JAN 1193,8,NO
standard_ad,1 JAN 1192,8,NO
standard_ad,1 JAN 1241,8,NO
standard_ad,1 JAN 1231,8,NO
standard_ad,1 JAN 1154,8,NO
standard_ad,1 JAN 1176,8,NO
standard_ad,1 JAN 1242,8,NO
standard_ad,1 JAN 1164,8,NO
standard_ad,1207,8,NO
standard_ad,1 JAN 1270,8,NO
standard_ad,1278,8,NO
standard_ad,1279,8,NO
standard_ad,1 JAN 14,8,NO
standard_ad,1 JAN 20,8,NO
standard_ad,1390,7,NO
standard_ad,908,7,NO
standard_ad,1297,7,NO
standard_ad,899,7,NO
standard_ad,683,7,NO
standard_ad,766,7,NO
standard_ad,375,7,NO
standard_ad,1361,7,NO
standard_ad,1425,7,NO
standard_ad,1475,7,NO
standard_ad,1535,7,NO
standard_ad,1556,7,NO
standard_ad,1537,7,NO
standard_ad,1508,7,NO
standard_ad,1625,7,NO
standard_ad,1553,7,NO
standard_ad,1 JAN 350,7,NO
standard_ad,376,7,NO
standard_ad,575,7,NO
standard_ad,45,7,NO
standard_ad,75,7,NO
standard_ad,17 MAR 624,7,NO
standard_ad,1 JAN 625,7,NO
standard_ad,629,7,NO
standard_ad,626,7,NO
standard_ad,636,7,NO
standard_ad,634,7,NO
standard_ad,720,7,NO
standard_ad,775,7,NO
standard_ad,386,7,NO
standard_ad,40,7,NO
standard_ad,30,7,NO
standard_ad,14,7,NO
standard_ad,4,7,NO
standard_ad,816,7,NO
standard_ad,969,7,NO
standard_ad,1031,7,NO
standard_ad,1277,7,NO
standard_ad,1368,7,NO
standard_ad,1478,7,NO
standard_ad,1435,7,NO
standard_ad,1385,7,NO
standard_ad,1311,7,NO
standard_ad,1501,7,NO
standard_ad,760,7,NO
standard_ad,1307,7,NO
standard_ad,1359,7,NO
standard_ad,826,7,NO
standard_ad,868,7,NO
standard_ad,815,7,NO
standard_ad,864,7,NO
standard_ad,904,7,NO
standard_ad,849,7,NO
standard_ad,742,7,NO
standard_ad,768,7,NO
standard_ad,944,7,NO
standard_ad,814,7,NO
standard_ad,953,7,NO
standard_ad,705,7,NO
standard_ad,866,7,NO
standard_ad,1 JAN 797,7,NO
standard_ad,878,7,NO
standard_ad,867,7,NO
standard_ad,942,7,NO
standard_ad,1 JAN 882,7,NO
standard_ad,884,7,NO
standard_ad,1021,7,NO
standard_ad,1320,7,NO
standard_ad,987,7,NO
standard_ad,1254,7,NO
standard_ad,1234,7,NO
standard_ad,1317,7,NO
standard_ad,1269,7,NO
standard_ad,1284,7,NO
standard_ad,1 JAN 1074,7,NO
standard_ad,1 JAN 695,7,NO
standard_ad,1 JAN 860,7,NO
standard_ad,1 JAN 440,7,NO
standard_ad,1 JAN 450,7,NO
standard_ad,1 JAN 948,7,NO
standard_ad,907,7,NO
standard_ad,613,7,NO
standard_ad,1 JAN 1004,7,NO
standard_ad,1 JAN 915,7,NO
standard_ad,1 JAN 925,7,NO
standard_ad,1 JAN 958,7,NO
standard_ad,1 JAN 982,7,NO
standard_ad,1 JAN 1064,7,NO
standard_ad,1 JAN 1094,7,NO
standard_ad,1 JAN 1018,7,NO
standard_ad,1 JAN 1027,7,NO
standard_ad,1 JAN 1131,7,NO
standard_ad,1 JAN 1149,7,NO
standard_ad,1 JAN 1106,7,NO
standard_ad,1 JAN 1124,7,NO
standard_ad,1 JAN 1091,7,NO
standard_ad,1 JAN 1083,7,NO
standard_ad,1 JAN 895,7,NO
standard_ad,1 JAN 1096,7,NO
standard_ad,1 JAN 1161,7,NO
standard_ad,1 JAN 1134,7,NO
standard_ad,1 JAN 1133,7,NO
standard_ad,1 JAN 954,7,NO
standard_ad,1 JAN 1098,7,NO
standard_ad,1 JAN 1232,7,NO
standard_ad,25 NOV 1120,7,NO
standard_ad,1 JAN 1138,7,NO
standard_ad,1 JAN 1167,7,NO
standard_ad,1 JAN 1147,7,NO
standard_ad,1 JAN 1171,7,NO
standard_ad,1 JAN 1246,7,NO
standard_ad,1 JAN 1107,7,NO
standard_ad,1 JAN 1203,7,NO
standard_ad,1 JAN 1189,7,NO
standard_ad,1 JAN 1141,7,NO
standard_ad,1203,7,NO
standard_ad,23 APR 1014,7,NO
standard_ad,1 JAN 1221,7,NO
standard_ad,1287,7,NO
standard_ad,1 JAN 36,7,NO
standard_ad,1 JAN 33,7,NO
standard_ad,1366,7,NO
standard_ad,1302,7,NO
standard_ad,1453,6,NO
standard_ad,1447,6,NO
standard_ad,1336,6,NO
standard_ad,1386,6,NO
standard_ad,1334,6,NO
standard_ad,983,6,NO
standard_ad,798,6,NO
standard_ad,622,6,NO
standard_ad,639,6,NO
standard_ad,1346,6,NO
standard_ad,1344,6,NO
standard_ad,1541,6,NO
standard_ad,1528,6,NO
standard_ad,1538,6,NO
standard_ad,1604,6,NO
standard_ad,1542,6,NO
standard_ad,1637,6,NO
standard_ad,1569,6,NO
standard_ad,1622,6,NO
standard_ad,1612,6,NO
standard_ad,1489,6,NO
standard_ad,1504,6,NO
standard_ad,1592,6,NO
standard_ad,1578,6,NO
standard_ad,1595,6,NO
standard_ad,1640,6,NO
standard_ad,1 JAN 512,6,NO
standard_ad,370,6,NO
standard_ad,1 JAN 471,6,NO
standard_ad,280,6,NO
standard_ad,270,6,NO
standard_ad,175,6,NO
