# Entities with family relationships but no external identifiers
qid,english_label,english_description,fathers,mothers,children,spouses,has_p39_no_identifiers,has_p39_no_relatives
Q20435,,,Q38666,Q38662,Q19670,,No,No
Q20438,,,,,Q18710,,No,No
Q20439,,,Q36209;Q38678,,Q18710,,No,No
Q2045,Kudungga,,Q2032;Q2032,,Q2056;Q2056,,No,No
Q2047,Chakshu(Manu),,Q2034;Q2034,,Q2057;Q2057,,No,No
Q20501,,,Q38854,,Q18758,,No,No
Q2051,"Marudeva, King of Kosala",,Q153455;Q153455;Q153455,,Q153467;Q153467;Q153467,,No,No
Q2056,Atwangga,,Q2045;Q2045,,Q2065;Q2065,,No,No
Q2057,Sarvatejas,,Q2047;Q2047,,Q2066;Q2066,,No,No
Q2065,Mitroga,,Q2056;Q2056,,Q2074;Q2074,,No,No
Q2066,Vyushtan,,Q2057;Q2057,,Q2075;Q2075;Q2075,Q69445;Q50376,No,No
Q2069,Pratikanshva,,Q153467;Q153467;Q153467,,Q2079;Q153475;Q153475;Q2079;Q153475,,No,No
Q2079,"Bhanuratha, King of Kosala",,Q2069;Q2069,,Q153485;Q153485;Q153485,,No,No
Q20840,,,,Q31429;Q34129,Q22745,,No,No
Q20851,,,,,Q31486,,No,No
Q20854,,,Q20945;Q22776;Q22775,Q31494;Q39708;Q22770;Q22771;Q39712;Q39715;Q39719,Q20962,Q39700,No,No
Q20856,,,Q20857,Q19095;Q22358,Q22778,,No,No
Q20857,,,Q22780;Q39727;Q22781,Q22779,Q19095,Q20856,No,No
Q20868,,,Q31554;Q22801;Q37330;Q39799,Q39795,Q21573,,No,No
Q20874,,,Q34254;Q39847;Q22814;Q39851,Q31606,Q37270,,No,No
Q20875,,,Q31614,,Q37095,,No,No
Q20876,,,Q35779;Q39859;Q39855,Q31770,Q31614,,No,No
Q20879,,,Q20896;Q31682,Q19122,,,No,No
Q20881,,,Q35767,Q19122,,,No,No
Q20882,,,Q22830,Q20923,Q19122,Q35751,No,No
Q20883,,,Q22836;Q22838;Q22833;Q22834;Q22835;Q22839;Q22837;Q39915,Q22831;Q39899;Q43933,Q19122,Q19165,No,No
Q20885,,,Q39919;Q39923,Q39855,Q19122,,No,No
Q20887,,,,Q22847,Q19122,,No,No
Q20888,,,Q22855;Q22857;Q22852;Q22854;Q22856;Q22853;Q22851;Q22849;Q22850,Q22848,Q19122,,No,No
Q20889,,,Q22859,Q22858,Q19122,Q19165,No,No
Q20891,,,,,Q19122,,No,No
Q20892,,,Q22862;Q22132;Q22861;Q39935,Q22156,Q19122,Q19165,No,No
Q20893,,,,,Q19122,,No,No
Q20894,,,Q39944;Q22865;Q22867;Q22868;Q22866,Q39940,Q19122,,No,No
Q20895,,,,Q39948,Q19122,,No,No
Q20896,,,,,Q19122,Q20879,No,No
Q20900,,,,Q31634,Q20908,,No,No
Q20901,,,,Q31638,Q22872,,No,No
Q20902,,,,Q31654,Q20962,Q22873,No,No
Q20904,,,,,Q31698,Q31774,No,No
Q20907,,,,,Q31698,,No,No
Q20908,,,Q39968;Q20900;Q22880;Q22882;Q35791;Q35795;Q20910;Q22871;Q39976;Q22877;Q39964;Q39972;Q39960,Q31706;Q39952;Q39956;Q43977,Q31818,,No,No
Q20910,,,,,Q20908,Q31706,No,No
Q20920,,,Q20924,Q31726,Q22907,Q40060,No,No
Q20922,,,,,Q31726,Q35828,No,No
Q20923,,,,Q20882,Q31726,,No,No
Q20924,,,Q22914,Q22913;Q22877,Q31726,Q20920,No,No
Q20927,,,Q40084;Q22922;Q22919;Q22920;Q22921,Q31758;Q40068;Q40072;Q40076;Q40080,Q38854,,No,No
Q20936,,,Q40096;Q39927;Q22932;Q40100;Q22930;Q22931,Q39891,Q19162,,No,No
Q20937,,,Q40104,Q39895,Q19162,,No,No
Q20938,,,Q22159,Q22758,Q19162,,No,No
Q20945,,,,Q19168;Q39879;Q40108;Q22937,Q20854,Q22770,No,No
Q20946,,,,Q31782;Q39972,Q20962,,No,No
Q20948,,,Q40124;Q22944,Q31794;Q40120,Q20951,Q35908,No,No
Q20950,,,Q22946,Q31802;Q33919,Q22945,,No,No
Q20951,,,Q40128;Q31806;Q20948,Q35908,Q22947,,No,No
Q20954,,,Q22949,,Q31810,,No,No
Q20957,,,Q31814,Q35924,,,No,No
Q20961,,,Q20963;Q20964;Q20962;Q20965,Q31818,,,No,No
Q151272,,,,Q127202;Q127202,Q147019;Q147019,Q147182;Q147182,No,No
Q151273,,,,,Q146588;Q146588,Q146865;Q146865,No,No
Q151274,,,Q124715;Q124715,Q148395;Q148395;Q148395;Q148395,Q146588;Q146588,Q146865;Q146865,No,No
Q151275,,,,,Q146588;Q146588,Q146865;Q146865,No,No
Q151900,,,Q109453;Q109363;Q109293;Q109453;Q109363;Q109293,Q109359;Q109359;Q109359;Q109359,Q109451;Q109451,,No,No
Q151917,,,Q109175;Q109243;Q109241;Q109245;Q109175;Q109243;Q109241;Q109245,Q109239;Q109239,Q109293;Q109293,,No,No
Q15197,,,Q15668,Q15181;Q15663,,,No,No
Q15237,,,Q15701;Q15703,Q15695;Q15696;Q15697;Q15698,Q15691,,No,No
Q152392,,,Q152409;Q152409;Q152409;Q152409;Q152409,,,Q284;Q284;Q284;Q284;Q284,No,No
Q152393,,,,,,Q284;Q284;Q284;Q284;Q284,No,No
Q152394,,,Q152395;Q152395;Q152395;Q152395;Q152395,,Q285;Q285;Q285;Q285;Q285,,No,No
Q152395,,,Q152396;Q152396;Q152396;Q152396;Q152396,,Q152394;Q152394;Q152394;Q152394;Q152394,,No,No
Q152425,,,Q152426;Q152427;Q53823;Q53827;Q152426;Q152427;Q53823;Q53827;Q152426;Q152427;Q53823;Q53827;Q152426;Q152427;Q53823;Q53827;Q152426;Q152427;Q30253;Q30257,Q53771;Q53771;Q53771;Q53771;Q30200,Q152429;Q53835;Q152429;Q152429;Q53835;Q152429;Q53835;Q152429;Q30265,,No,No
Q152426,Seth son of Euka,person,Q2703;Q53631;Q2703;Q53631;Q2703;Q53631;Q2703;Q53631;Q2703;Q30060,Q152427;Q152427;Q152427;Q152427;Q152427,Q152425;Q152425;Q152425;Q152425;Q152425,Q53771;Q53771;Q53771;Q53771;Q30200,No,No
Q152427,Azura daughter of Eve,person,Q2703;Q53631;Q2703;Q53631;Q2703;Q53631;Q2703;Q53631;Q2703;Q30060,Q152426;Q152426;Q152426;Q152426;Q152426,Q152425;Q152425;Q152425;Q152425;Q152425,Q53771;Q53771;Q53771;Q53771;Q30200,No,No
Q152428,Proto-One The First Bridger,person,Q152429;Q152429;Q152429;Q152429;Q152429,,Q152424;Q152424;Q152424;Q152424;Q152424,Q53703;Q53703;Q53703;Q53703;Q2662,No,No
Q152429,Proto-Two The Second Bridger,person,Q152425;Q152425;Q152425;Q152425;Q152425,,Q152428;Q152428;Q152428;Q152428;Q152428,,No,No
Q152430,,,Q152431;Q152432;Q152431;Q152432;Q152431;Q152432;Q152431;Q152432;Q152431;Q152432,Q53843;Q53843;Q53843;Q53843;Q30273,Q53619;Q53619;Q53619;Q53619;Q30048,,No,No
Q152914,Dikar Dikarya,Gaiad character,Q152913;Q152915;Q152916;Q152913;Q152915;Q152916;Q152913;Q152915;Q152916;Q152913;Q152915;Q152916;Q152913;Q152915;Q152916,,Q152460;Q152460;Q152460;Q152460;Q152460,Q152461;Q152461;Q152461;Q152461;Q152461,No,No
Q152931,Palnops Polyneoptera,Gaiad character,Q152932;Q152933;Q152932;Q152933;Q152932;Q152933;Q152932;Q152933;Q152932;Q152933,,Q2785;Q2785;Q2785;Q2785;Q2785,,No,No
Q152932,Aurapter Polyneoptera,Gaiad character,Q965;Q966;Q965;Q966;Q965;Q966;Q965;Q966;Q965;Q966,,Q152931;Q152931;Q152931;Q152931;Q152931,,No,No
Q152933,Petropter Polyneoptera,Gaiad character,Q152934;Q969;Q152934;Q969;Q152934;Q969;Q152934;Q969;Q152934;Q969,,Q152931;Q152931;Q152931;Q152931;Q152931,,No,No
Q152934,Orthops Polyneoptera,Gaiad character,Q970;Q152935;Q970;Q152935;Q970;Q152935;Q970;Q152935;Q970;Q152935,,Q152933;Q152933;Q152933;Q152933;Q152933,,No,No
Q152935,Cryophanter Polyneoptera,Gaiad character,Q2814;Q972;Q2814;Q972;Q2814;Q972;Q2814;Q972;Q2814;Q972,,Q152934;Q152934;Q152934;Q152934;Q152934,,No,No
Q152936,Sylvarachne Polyneoptera,Gaiad character,Q2815;Q2816;Q2815;Q2816;Q2815;Q2816;Q2815;Q2816;Q2815;Q2816,,Q2814;Q2814;Q2814;Q2814;Q2814,,No,No
Q152937,Cryogladios Polyneoptera,Gaiad character,Q2817;Q2818;Q2817;Q2818;Q2817;Q2818;Q2817;Q2818;Q2817;Q2818,,Q2814;Q2814;Q2814;Q2814;Q2814,,No,No
Q152944,1 Onychodontidae,Gaiad character,Q152945;Q152945;Q152945;Q152945;Q152945,,Q152943;Q152943;Q152943;Q152943;Q152943,,No,No
Q152954,Anka Actinistia,Gaiad character,Q2822;Q2823;Q2822;Q2823;Q2822;Q2823;Q2822;Q2823;Q2822;Q2823,,Q152946;Q152946;Q152946;Q152946;Q152946,,No,No
Q152957,Abu Eotetra Tetrapodomorpha,Gaiad character,Q152958;Q2829;Q152958;Q2829;Q152958;Q2829;Q152958;Q2829;Q152958;Q2829,,Q152956;Q152956;Q152956;Q152956;Q152956,,No,No
Q152958,Unnamed clade 2 Eotetrapodiformes,Gaiad character,Q152959;Q2831;Q152959;Q2831;Q152959;Q2831;Q152959;Q2831;Q152959;Q2831,,Q152957;Q152957;Q152957;Q152957;Q152957,,No,No
Q152993,Placeholder surname,Gaiad character,,,,Q3815;Q3815;Q3815;Q3815;Q3815,No,No
Q152994,Great Descendant Borjin,Gaiad character,Q152995;Q152995;Q152995;Q152995;Q152995,,Q153200;Q153200;Q153200;Q153200;Q153200,Q80085;Q80085;Q80085;Q80085;Q62537,No,No
Q152998,Horus Parallel Generation 62,Gaiad character,Q1284;Q1284;Q1284;Q1284;Q1284,,Q52950;Q52950;Q52950;Q2480,,No,No
Q152999,Iranic Ancestors Generation 2,Gaiad character,Q1341;Q1341;Q1341;Q1341;Q1341,,Q153000;Q153000;Q153000;Q153000;Q153000,,No,No
Q153000,Iranic Ancestors Generation 3,Gaiad character,Q152999;Q152999;Q152999;Q152999;Q152999,,Q153001;Q153001;Q153001;Q153001;Q153001,,No,No
Q153001,Iranic Ancestors Generation 4,Gaiad character,Q153000;Q153000;Q153000;Q153000;Q153000,,Q153002;Q153002;Q153002;Q153002;Q153002,,No,No
Q153002,Iranic Ancestors Generation 5,Gaiad character,Q153001;Q153001;Q153001;Q153001;Q153001,,Q153003;Q153003;Q153003;Q153003;Q153003,,No,No
Q153003,Iranic Ancestors Generation 6,Gaiad character,Q153002;Q153002;Q153002;Q153002;Q153002,,Q153004;Q153004;Q153004;Q153004;Q153004,,No,No
Q153004,Iranic Ancestors Generation 7,Gaiad character,Q153003;Q153003;Q153003;Q153003;Q153003,,Q153005;Q153005;Q153005;Q153005;Q153005,,No,No
Q153005,Iranic Ancestors Generation 8,Gaiad character,Q153004;Q153004;Q153004;Q153004;Q153004,,Q153006;Q153006;Q153006;Q153006;Q153006,,No,No
