Belarusian,Indo-European,беларуская мова,be,bel,bel,bel,Description,Панядзелак," аўторак"," серада"," чацвер"," пятніца"," субота"," нядзеля"," Стралец"," Казярог"," Вадалей"," Рыбы"," Авен"," Цялец"," Блізняты"," Каркіна"," Леў"," Дзева"," Шалі"," Скарпіён"," Опіхус"," Хорус"," Стралец"," Казярог"," Вадалей "," Рыб"," Авена"," Цяля"," Двайнят"," Каркіна"," Льва"," Панны"," Шаляў"," Скарпіёна"," Офуха"," Гора"," AM"," PM",:,-,,,,
Bengali,Indo-European,বাংলা,bn,ben,ben,ben,also known as Bangla,সোমবার," মঙ্গলবার"," বুধবার"," বৃহস্পতিবার"," শুক্রবার"," শনিবার"," রবিবার"," ধনু"," মকর"," কুমারী"," মীন"," মেষ"," বৃষ"," মিথুন"," কার্চিনো"," লিও"," কুমারী"," तुला"," বৃশ্চিক"," ওফিউচাস"," হোরাস"," ধনু রাশির"," কুম্ভের "," মীন রাশির"," বৃষের"," বৃষের"," মিথুনের"," কারকিনোর"," লিওর"," কন্যার"," লিব্রের"," বৃশ্চিকের"," বৃশ্চিকের"," ওফিউচাসের"," হোরাস"," এএম"," প্রধানমন্ত্রী",,-,,,,
Bihari languages,Indo-European,भोजपुरी,bh,bih,bih,collective language code for Bhojpuri Magahi and Maithili,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Bislama,Creole,Bislama,bi,bis,bis,bis,Language formed from English and Ni-Vanuatu with some French influence.,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Bosnian,Indo-European,bosanski jezik,bs,bos,bos,bos,Description,Ponedjeljak," utorak"," srijeda"," četvrtak"," petak"," subota"," nedjelja"," Strijelac"," Jarac"," Vodolija"," Ribi"," Ovan"," Bik"," Blizanci"," Karkino"," Lav"," Djevica"," Vaga"," Škorpion"," Ophiuchus"," Horus"," Strijelac"," Jarac"," Vodolija "," Riba"," Ovan"," Bik"," Blizanci"," Karkino"," Lav"," Djevica"," Vaga"," Škorpion"," Ofihus"," Horus"," AM"," PM",:,-,,,,
Breton,Indo-European,brezhoneg,br,bre,bre,bre,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Bulgarian,Indo-European,български език,bg,bul,bul,bul,Description,Понеделник," вторник"," сряда"," четвъртък"," петък"," събота"," неделя"," Стрелец"," Козирог"," Водолей"," Риби"," Овен"," Телец"," Близнаци"," Каркино"," Лъв"," Дева"," Везни"," Скорпион"," Офиух"," Хорус"," Стрелец"," Козирог"," Водолей "," от Риби"," от Овен"," от Телец"," от Близнаци"," от Каркино"," от Лъв"," от Дева"," от Везни"," от Скорпион"," от Офиух"," от Хорус"," AM"," PM",:,-,,,,
Burmese,Sino-Tibetan,ဗမာစာ,my,mya,bur,mya,also known as Myanmar,တနင်္လာနေ့၊ အင်္ဂါနေ့၊ ဗုဒ္ဓဟူး၊ ကြာသပတေး၊ သောကြာ၊ စနေနေ့၊ တနင်္ဂနွေ၊ ကစ္စတို၊ ကာလီနို၊ လီယို၊ ဗာဂျို၊ Libra၊ Scorpio၊ Ophiuchus၊ Horus မြို့၊,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Catalan Valencian,Indo-European,català valencià,ca,cat,cat,cat,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Chamorro,Austronesian,Chamoru,ch,cha,cha,cha,Description,Dilluns," dimarts"," dimecres"," dijous"," divendres"," dissabte"," diumenge"," Sagitari"," Capricorn"," Aquarius"," Peixos"," Àries"," Taure"," Géminis"," Karkino"," Lleó"," Virgo"," Libra"," Escorpí"," Ophiuchus"," Horus"," de Sagitari"," de Capricorn"," d'Aquarius "," de Peixos"," d’Aries"," de Taure"," de Gèminis"," de Karkino"," de Lleó"," de Virgo"," de Libra"," d’Scorpio"," d’Ophiuchus"," d’Horus"," AM"," PM",:,-,,,,
Chechen,Northeast Caucasian,нохчийн мотт,ce,che,che,che,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Chichewa Chewa Nyanja,Niger–Congo,chiCheŵa chinyanja,ny,nya,nya,nya,Description,Lolemba," Lachiwiri"," Lachitatu"," Lachinayi"," Lachisanu"," Loweruka"," Sande"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," wa Sagittarius"," waku Capricorn"," waku Aquarius "," wa Pisces"," wa Aries"," wa Taurus"," wa Gemini"," wa Karkino"," wa Leo"," wa Virgo"," waku Libra"," waku Scorpio"," wa Ophiuchus"," wa Horus"," AM"," PM",:,-,,,,
Chinese,Sino-Tibetan,中文,zh,zho,chi,zho + 16,macrolanguage,星期一,星期二,星期三,星期四,星期五,星期六,星期日,人馬座,摩羯座,水瓶座,雙魚座,白羊座,金牛座,雙子座,巨蟹座,獅子座,處女座,天秤座,天蠍座,蛇夫座,荷魯斯,的人馬座,的摩羯座,的水瓶座,的雙魚座,的白羊座,的金牛座,的雙子座,的巨蟹座,的獅子座,的處女座,的天秤座,的天蠍座,的蛇夫座,的荷魯斯,AM,PM,:,-,,,,
Chuvash,Turkic,чӑваш чӗлхи,cv,chv,chv,chv,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Cornish,Indo-European,Kernewek,kw,cor,cor,cor,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Corsican,Indo-European,corsu lingua corsa,co,cos,cos,cos,Description,Lunedì," marti"," mercoledì"," ghjovi"," venerdì"," sabatu"," dumenica"," Sagittariu"," Capricornu"," Aquarius"," Pisci"," Aries"," Tauro"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," di Sagittariu"," di Capricornu"," d'Aquariu "," di Pisces"," d'Aries"," di Tauro"," di Gemini"," di Karkino"," di Leu"," di Virgo"," di Libra"," di Scorpio"," d'Ophiuchus"," d'Horus"," AM"," PM",:,-,,,,
Cree,Algonquian,ᓀᐦᐃᔭᐍᐏᐣ,cr,cre,cre,cre + 6,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Croatian,Indo-European,hrvatski jezik,hr,hrv,hrv,hrv,Description,Ponedjeljak," Utorak"," Srijeda"," Četvrtak"," Petak"," Subota"," Nedjelja"," Strijelac"," Jarac"," Vodolija"," Ribe"," Ovan"," Bik"," Blizanci"," Karkino"," Lav"," Djevica"," Vaga"," Škorpion"," Ophiuchus"," Horus"," Strijelac"," Jarac"," Vodolija "," od Riba"," od Ovna"," Bika"," Blizanca"," Karkina"," Lava"," Djevice"," Vage"," Škorpiona"," Ofihusa"," Horusa"," AM"," PM",:,-,,,,
Czech,Indo-European,čeština český jazyk,cs,ces,cze,ces,Description,Pondělí," úterý"," středa"," čtvrtek"," pátek"," sobota"," neděle"," Střelec"," Kozoroh"," Vodnář"," Ryby"," Beran"," Býk"," Blíženci"," Karkino"," Lev"," Panna"," Váhy"," Štír"," Ophiuchus"," Horus"," Střelec"," Kozoroha"," Vodnáře "," Ryby"," Berana"," Býka"," Blížence"," Karkina"," Lea"," Panny"," Váhy"," Štíra"," Ophiucha"," Horuse"," AM"," PM",:,-,,,,
Danish,Indo-European,dansk,da,dan,dan,dan,Description,Mandag," tirsdag"," onsdag"," torsdag"," fredag"," lørdag"," søndag"," Skytten"," Stenbukken"," Vandmanden"," Fiskene"," Vædderen"," Tyren"," Tvillingene"," Karkino"," Leo"," Jomfruen"," Vægten"," Skorpionen"," Ophiuchus"," Horus"," af Skytten"," Stenbukken"," Vattumanden "," af Fiskene"," af Væren"," af Tyren"," af Tvillingene"," af Karkino"," af Leo"," af Jomfruen"," af Vægten"," af Skorpionen"," af Ophiuchus"," af Horus"," AM"," PM",:,-,,,,
Divehi Dhivehi Maldivian,Indo-European,ދިވެހި,dv,div,div,div,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Dutch Flemish,Indo-European,Nederlands Vlaams,nl,nld,dut,nld,"Flemish is not to be confused with the closely related West Flemish which is referred to as Vlaams (Dutch for ""Flemish"") in ISO 639-3 and has the ISO 639-3 code vls",Maandag," dinsdag"," woensdag"," donderdag"," vrijdag"," zaterdag"," zondag"," Boogschutter"," Steenbok"," Waterman"," Vissen"," Ram"," Stier"," Tweeling"," Karkino"," Leeuw"," Maagd"," Weegschaal"," Schorpioen"," Ophiuchus"," Horus"," Boogschutter"," Steenbok"," Waterman "," van Vissen"," Ram"," Stier"," Tweeling"," Karkino"," Leeuw"," Maagd"," Weegschaal"," Schorpioen"," Ophiuchus"," Horus"," AM"," PM",:,-,,,,
Dzongkha,Sino-Tibetan,རྫོང་ཁ,dz,dzo,dzo,dzo,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
English,Indo-European,English,en,eng,eng,eng,Description,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Sagittarius,Capricorn,Aquarius,Pisces,Aries,Taurus,Gemini,Karkino,Leo,Virgo,Libra,Scorpio,Ophiuchus,Horus,of Sagittarius,of Capricorn,of Aquarius,of Pisces,of Aries,of Taurus,of Gemini,of Karkino,of Leo,of Virgo,of Libra,of Scorpio,of Ophiuchus,of Horus,AM,PM,:,-,,,,
Esperanto,Constructed,Esperanto,eo,epo,epo,epo,constructed initiated from L.L. Zamenhof 1887,Lundo," mardo"," merkredo"," ĵaŭdo"," vendredo"," sabato"," dimanĉo"," Sagitario"," Kaprikorno"," Akvario"," Piscioj"," Aries"," Taŭro"," Ĝemeloj"," Karkino"," Leono"," Virgo"," Libra"," Skorpio"," Ophiuchus"," Horus"," de Sagitario"," de Kaprikorno"," de Akvario "," de Pisidoj"," de Aries"," de Taŭro"," de Ĝemeloj"," de Karkino"," de Leono"," de Virgo"," de Libra"," de Skorpio"," de Ophiuchus"," de Horus"," AM"," PM",:,-,,,,
Estonian,Uralic,eesti eesti keel,et,est,est,est + 2,macrolanguage,Esmaspäev," teisipäev"," kolmapäev"," neljapäev"," reede"," laupäev"," pühapäev"," Ambur"," Kaljukits"," Veevalaja"," Kalad"," Jäär"," Sõnn"," Kaksikud"," Karkino"," Lõvi"," Neitsi"," Kaalud"," Skorpion"," Ophiuchus"," Horus"," Ambur"," Kaljukits"," Veevalaja "," Kalad"," Jäär"," Sõnn"," Kaksikud"," Karo"," Leo"," Neitsi"," Kaalud"," Skorpion"," Ophiuchus"," Horus"," AM"," PM",,-,,,,
Ewe,Niger–Congo,Eʋegbe,ee,ewe,ewe,ewe,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Faroese,Indo-European,føroyskt,fo,fao,fao,fao,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Fijian,Austronesian,vosa Vakaviti,fj,fij,fij,fij,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Finnish,Uralic,suomi suomen kieli,fi,fin,fin,fin,Description,Maanantai," tiistai"," keskiviikko"," torstai"," perjantai"," lauantai"," sunnuntai"," Jousimies"," Kauris"," Vesimies"," Kalat"," Oinas"," Härkä"," Kaksoset"," Karkino"," Leijona"," Neitsyt"," Vaaka"," Skorpioni"," Ophiuchus"," Horus"," Jousimies"," Kauris"," Vesimies "," Kalat"," Oinas"," Härkä"," Kaksoset"," Karkinon"," Leon"," Neitsyt"," Vaaka"," Skorpioni"," Ophiuchus"," Horus"," AM"," PM",:,-,,,,
French,Indo-European,français langue française,fr,fra,fre,fra,Description,Lundi," mardi"," mercredi"," jeudi"," vendredi"," samedi"," dimanche"," Sagittaire"," Capricorne"," Verseau"," Poissons"," Bélier"," Taureau"," Gémeaux"," Karkino"," Lion"," Vierge"," Balance"," Scorpion"," Ophiuchus"," Horus"," du Sagittaire"," du Capricorne"," du Verseau "," de Poissons"," de Bélier"," de Taureau"," de Gémeaux"," de Karkino"," de Lion"," de Vierge"," de Balance"," de Scorpion"," d'Ophiuchus"," d'Horus"," AM"," PM",:,-,,,,
Fulah,Niger–Congo,Fulfulde Pulaar Pular,ff,ful,ful,ful + 9,macrolanguage also known as Fula,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Galician,Indo-European,Galego,gl,glg,glg,glg,Description,Luns," martes"," mércores"," xoves"," venres"," sábado"," domingo"," Sagitario"," Capricornio"," Acuario"," Piscis"," Aries"," Tauro"," Xemelgos"," Karkino"," Leo"," Virgo"," Libra"," Escorpión"," Ophiuchus"," Horus"," de Sagitario"," de Capricornio"," de Acuario "," de Piscis"," de Aries"," de Tauro"," de Xemelgos"," de Karkino"," de Leo"," de Virgo"," de Libra"," de Escorpión"," de Ophiuchus"," de Horus"," AM"," PM",:,-,,,,
Georgian,Kartvelian,ქართული,ka,kat,geo,kat,Description,ორშაბათი," სამშაბათი"," ოთხშაბათი"," ხუთშაბათი"," პარასკევი"," პარასკევი"," შაბათი"," კვირა"," მშვილდოსანი"," თხის რქა"," მერწყული"," თევზები"," ვერძი"," კურო"," ტყუპები"," კარკინო"," ლეო"," ქალწული"," სასწორი"," მორიელი"," ოფფიუჩესი"," ჰორუსი"," მშვილდოსანი"," თხის რქა"," მერწყული "," თევზები"," ვერძი"," ტყუპები"," ტყუპები"," კარკინო"," ლეო"," ქალწული"," სასწორი"," სასწორი"," მორიელი"," ოფიცუსი"," ჰორუსი"," AM",-,:,,,
German,Indo-European,Deutsch,de,deu,ger,deu,Description,Montag," Dienstag"," Mittwoch"," Donnerstag"," Freitag"," Samstag"," Sonntag"," Schütze"," Steinbock"," Wassermann"," Fische"," Widder"," Stier"," Zwillinge"," Karkino"," Löwe"," Jungfrau"," Waage"," Skorpion"," Ophiuchus"," Horus"," Schütze"," Steinbock"," Wassermann "," von Fischen"," von Widder"," von Stier"," von Zwillingen"," von Karkino"," von Löwe"," von Jungfrau"," von Waage"," von Skorpion"," von Ophiuchus"," von Horus"," AM"," PM",:,-,,,,
Greek Modern (1453–),Indo-European,ελληνικά,el,ell,gre,ell,Description,Δευτέρα," Τρίτη"," Τετάρτη"," Πέμπτη"," Παρασκευή"," Σάββατο"," Κυριακή"," Τοξότης"," Αιγόκερως"," Υδροχόος"," Ιχθείς"," Κριός"," Ταύρος"," Δίδυμοι"," Κάρκινο"," Λέων"," Παρθένος"," Ζυγός"," Σκορπιός"," Οφιούχος"," Horus"," του Τοξότη"," του Αιγόκερου"," του Υδροχόου "," των Ιχθύων"," του Κριού"," του Ταύρου"," των Δίδυμων"," του Καρκίνου"," του Λέοντα"," της Παρθένου"," του Ζυγού"," του Σκορπιού"," του Οφιούχου"," του Ωρού"," της Π.Μ.",:,,-,,,,
Guarani,Tupian,Avañe'ẽ,gn,grn,grn,grn + 5,macrolanguage,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Gujarati,Indo-European,ગુજરાતી,gu,guj,guj,guj,Description,સોમવાર," મંગળવાર"," બુધવાર"," ગુરુવાર"," શુક્રવાર"," શનિવાર"," રવિવાર"," ધનુ"," મકર"," કુંભ"," મીન"," મેષ"," વૃષભ"," મિથુન"," કર્કિન"," લીઓ"," કન્યા"," તુલા"," વૃશ્ચિક"," ઓફિયુચસ"," હોરસ"," ધનુરાશિ"," કકર રાશિ"," "," મીન રાશિના"," મેષ રાશિના"," વૃષભના"," જેમિનીના"," કાર્કિનોના"," લીઓના"," કર્કનાના"," તુલા રાશિના"," વૃશ્ચિક રાશિના"," Opફિચુસના"," હોરસના"," એ.એમ."," પી.એમ.",:,-,,,,
Haitian Haitian Creole,Creole,Kreyòl ayisyen,ht,hat,hat,hat,Description,Lendi," Madi"," Mèkredi"," Jedi"," Vandredi"," Samdi"," Dimanch"," s'ajitè"," Caprikwèl"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Balans"," Eskòpyon"," Ophiuchus"," Horus"," nan s'ajitè"," nan Capricorn"," nan Aquarius "," nan Pisces"," nan Aries"," nan Taurus"," nan Gemini"," nan Karkino"," nan Leo"," nan Virgo"," nan Balans"," nan s'ajitè"," nan Ophiuchus"," nan Horus"," AM"," PM",:,-,,,,
Hausa,Afro-Asiatic,(Hausa) هَوُسَ,ha,hau,hau,hau,Description,Litinin," Talata"," Laraba"," Alhamis"," Jumma'a"," Asabar"," Lahadi"," Sagittarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," na Sagittarius"," na Capricorn"," na Aquarius "," na Pisces"," na Aries"," na Taurus"," na Gemini"," na Karkino"," na Leo"," na Virgo"," na Libra"," da Scorpio"," da Offauchus"," na Horus"," AM"," PM",:,-,,,,
Hebrew,Afro-Asiatic,עברית,he,heb,heb,heb,Modern Hebrew. Code changed in 1989 from original ISO 639:1988 iw.[1],שני," שלישי"," רביעי"," חמישי"," שישי"," שבת"," ראשון"," מזל קשת"," מזל גדי"," מזל דלי"," מזל דגים"," מזל טלה"," מזל תאומים"," קרקינו"," ליאו"," מזל בתולה"," מזל מאזניים"," מזל עקרב"," אופיוכוס"," הורוס"," של מזל קשת"," מזל גדי"," מזל דלי"," מזל דלי "," של מזל דגים"," של טלה"," מזל שור"," של תאומים"," של קרקינו"," של ליאו"," של מזל בתולה"," של מזל מאזניים"," של מזל עקרב"," של"," אופיוכוס"," של הורוס"," AM"," PM",-,:,,,
Herero,Niger–Congo,Otjiherero,hz,her,her,her,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Hindi,Indo-European,हिन्दी हिंदी,hi,hin,hin,hin,Description,सोमवार,मंगलवार,बुधवार,गुरुवार,शुक्रवार,शनिवार,रविवार,धनु,मकर,कुम्भ,मत्स्य,मेष,वृषभ,मिथुन,कर्क,सिंह,कन्या,तुला,वृश्चिक,"सर्पधारी ",विष्णु,धनोः,"मकरस्य ",कुम्भस्य,मत्स्यस्य,मेषस्य,"वृषभस्य ",मिथुनयोः,"कर्कटस्य ","सिंहस्य ",कन्यायाः,तुला के,वृश्चिकस्य,सर्पधारी,विष्णोः,AM,PM,:,-,,,,
Hiri Motu,Austronesian,Hiri Motu,ho,hmo,hmo,hmo,Description,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Hungarian,Uralic,magyar,hu,hun,hun,hun,Description,Hétfő," kedd"," szerda"," csütörtök"," péntek"," szombat"," vasárnap"," Nyilas"," Bak"," Vízöntő"," Halak"," Kos"," Bika"," Ikrek"," Karkino"," Oroszlán"," Szűz"," Mérleg"," Skorpió"," Ophiuchus"," Horus"," Nyilas"," Bak"," és a Vízöntő "," Halak"," Kos"," Taurus"," Ikrek"," Karkino"," Leo"," Szűz"," Mérleg"," Skorpió"," Ophiuchus"," Horus"," AM"," PM",,-,,,,
Interlingua (International Auxiliary Language Association),Constructed,Interlingua,ia,ina,ina,ina,constructed by International Auxiliary Language Association,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Indonesian,Austronesian,Bahasa Indonesia,id,ind,ind,ind,Covered by macrolanguage [ms/msa]. Changed in 1989 from original ISO 639:1988 in[1].,Senin," Selasa"," Rabu"," Kamis"," Jumat"," Sabtu"," Minggu"," Sagitarius"," Capricorn"," Aquarius"," Pisces"," Aries"," Taurus"," Gemini"," Karkino"," Leo"," Virgo"," Libra"," Scorpio"," Ophiuchus"," Horus"," dari Sagitarius"," dari Capricorn"," dari Aquarius "," dari Pisces"," dari Aries"," dari Taurus"," dari Gemini"," dari Karkino"," dari Leo"," dari Virgo"," dari Libra"," dari Scorpio"," dari Ophiuchus"," dari Horus"," AM"," PM",:,-,,,,
Interlingue Occidental,Constructed,(originally:) Occidental (after WWII:) Interlingue,ie,ile,ile,ile,constructed by Edgar de Wahl first published in 1922,AM,PM,:,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
Irish,Indo-European,Gaeilge,ga,gle,gle,gle,Description,Dé Luain," Dé Máirt"," Dé Céadaoin"," Déardaoin"," Dé hAoine"," Dé Sathairn"," Dé Domhnaigh"," Saighdeoir"," Gabhar"," tUisceadóir"," hÉisc"," Reithe"," Taurus"," Gemini"," Karkino"," Leo"," Mhaighdean"," Libra"," Scairp"," Ophiuchus"," Horus"," as Saighdeoir"," as Gabhar"," as tUisceadóir "," de hÉisc"," de Reithe"," de Taurus"," de Gemini"," de Karkino"," de Leo"," de Mhaighdean"," de Libra"," de Scairp"," de Ophiuchus"," de Horus"," AM"," PM",:,-,,,,
