id,label_en,translation
Q69969,King Sak (朔)  King of Gija Joseon,King Sak King of Gija Joseon
Q69975,King Yö (藜)  King of Gija Joseon,King Yö King of Gija Joseon
Q69978,King Gang (岡)  King of Gija Joseon,King Gang King of Gija Joseon
Q69981,King Hon (混)  King of Gija Joseon,King Hon King of Gija Joseon
Q69984,King Pyuk (璧)  King of Gija Joseon,King Pyuk King of Gija Joseon
Q69987,King Jing (澄)  King of Gija Joseon,King Jing King of Gija Joseon
Q69990,King Chok (隲)  King of Gija Joseon,King Chok King of Gija Joseon
Q69993,King Seup (謵)  King of Gija Joseon,King Seup King of Gija Joseon
Q69996,King Ha (賀)  King of Gija Joseon,King Ha King of Gija Joseon
Q69999,King Hwa (華)  King of Gija Joseon,King Hwa King of Gija Joseon
Q70002,King Hu (詡)  King of Gija Joseon,King Hu King of Gija Joseon
Q70008,King Uk (煜)  King of Gija Joseon,King Uk King of Gija Joseon
Q70011,King Suk (釋)  King of Gija Joseon,King Suk King of Gija Joseon
Q70014,King Yun (潤)  King of Gija Joseon,King Yun King of Gija Joseon
Q70017,King Bu (否)  King of Gija Joseon,King Bu King of Gija Joseon
Q70020,King Jun (準)  King of Gija Joseon,King Jun King of Gija Joseon
Q70125,"Jiagu (家谷)  Jī (姬), King of Yayoi","Jiagu Jī, King of Yayoi"
Q70128,"Weiming (伟明)  Jī (姬), King of Yayoi","Weiming Jī, King of Yayoi"
Q70131,"Zhenyu (振宇)  Jī (姬), King of Yayoi","Zhenyu Jī, King of Yayoi"
Q70134,"Haoran (浩然)  Jī (姬), King of Yayoi","Haoran Jī, King of Yayoi"
Q70137,"Liang (良)  Jī (姬), King of Yayoi","Liang Jī, King of Yayoi"
Q70140,"Wenhua (文化)  Jī (姬), King of Yayoi","Wenhua Jī, King of Yayoi"
Q70143,"Shiming (世明)  Jī (姬), King of Yayoi","Shiming Jī, King of Yayoi"
Q70146,"Zhiqiang (志强)  Jī (姬), King of Yayoi","Zhiqiang Jī, King of Yayoi"
Q70149,"Feng (峰)  Jī (姬), King of Yayoi","Feng Jī, King of Yayoi"
Q70155,"Mingde (明德)  Jī (姬), King of Yayoi","Mingde Jī, King of Yayoi"
Q70158,"Kazuo (一雄)  Jī (姬), King of Yayoi","Kazuo Jī, King of Yayoi"
Q70160,"Haruto (春人)  Jī (姬), King of Yayoi","Haruto Jī, King of Yayoi"
Q70163,"Satoshi (聡)  Jī (姬), King of Yayoi","Satoshi Jī, King of Yayoi"
Q70166,"Akira (明)  Jī (姬), King of Yayoi","Akira Jī, King of Yayoi"
Q70169,"Daichi (大地)  Jī (姬), King of Yayoi","Daichi Jī, King of Yayoi"
Q70172,"Hiroshi (浩)  Jī (姬), King of Yayoi","Hiroshi Jī, King of Yayoi"
Q70175,"Kenji (健二)  Jī (姬), King of Yayoi","Kenji Jī, King of Yayoi"
Q70178,"Masato (正人)  Jī (姬), King of Yayoi","Masato Jī, King of Yayoi"
Q70181,"Naoki (直樹)  Jī (姬), King of Yayoi","Naoki Jī, King of Yayoi"
Q70187,"Ryota (涼太)  Jī (姬), King of Yayoi","Ryota Jī, King of Yayoi"
Q70190,"Shota (翔太)  Jī (姬), King of Yayoi","Shota Jī, King of Yayoi"
Q70193,"Takashi (隆)  Jī (姬), King of Yayoi","Takashi Jī, King of Yayoi"
Q70196,"Yuta (優太)  Jī (姬), King of Yayoi","Yuta Jī, King of Yayoi"
Q70199,"Zen (善)  Jī (姬), King of Yayoi","Zen Jī, King of Yayoi"
Q70202,"Himiko (卑弥呼)  Jī (姬), Queen of Yayoi","Himiko Jī, Queen of Yayoi"
Q70214,"Jian (建)  Jī (姬), King of Yayoi","Jian Jī, King of Yayoi"
Q70217,"Wei (威)  Jī (姬), King of Yayoi","Wei Jī, King of Yayoi"
Q70220,"Zhi (智)  Jī (姬), King of Yayoi","Zhi Jī, King of Yayoi"
Q70223,"Yong (勇)  Jī (姬), King of Yayoi","Yong Jī, King of Yayoi"
Q70227,"Xun (迅)  Jī (姬), King of Yayoi","Xun Jī, King of Yayoi"
Q70230,"Cheng (成)  Jī (姬), King of Yayoi","Cheng Jī, King of Yayoi"
Q70233,"Li (力)  Jī (姬), King of Yayoi","Li Jī, King of Yayoi"
Q70236,"An (安)  Jī (姬), King of Yayoi","An Jī, King of Yayoi"
Q70239,"De (德)  Jī (姬), King of Yayoi","De Jī, King of Yayoi"
Q70245,"Guang (光)  Jī (姬), King of Yayoi","Guang Jī, King of Yayoi"
Q70248,"Jian (健)  Jī (姬), King of Yayoi","Jian Jī, King of Yayoi"
Q70251,"Min (敏)  Jī (姬), King of Yayoi","Min Jī, King of Yayoi"
Q70254,"Rong (荣)  Jī (姬), King of Yayoi","Rong Jī, King of Yayoi"
Q70257,"Shan (善)  Jī (姬), King of Yayoi","Shan Jī, King of Yayoi"
Q70259,"Bo (博)  Jī (姬), King of Yayoi","Bo Jī, King of Yayoi"
Q70262,"Wen (文)  Jī (姬), King of Yayoi","Wen Jī, King of Yayoi"
Q70265,"Yong (永)  Jī (姬), King of Yayoi","Yong Jī, King of Yayoi"
Q70268,"Zhi (志)  Jī (姬), King of Yayoi","Zhi Jī, King of Yayoi"
Q70271,"Xin (信)  Jī (姬), King of Yayoi","Xin Jī, King of Yayoi"
Q70277,"Yi (义)  Jī (姬), King of Yayoi","Yi Jī, King of Yayoi"
Q70280,"Kang (康)  Jī (姬), King of Yayoi","Kang Jī, King of Yayoi"
Q70283,"Yuan (元)  Jī (姬), King of Yayoi","Yuan Jī, King of Yayoi"
Q70286,"Zheng (正)  Jī (姬), King of Yayoi","Zheng Jī, King of Yayoi"
Q70289,"Jian (坚)  Jī (姬), King of Yayoi","Jian Jī, King of Yayoi"
Q70782,Chēng 称(稱),Chēng 称
Q70857,Lǎo Tóng 老童(或称卷章),Lǎo Tóng 老童
Q70887,Zhao Ming  (林氏前姓黄帝后代第6世),Zhao Ming
Q70890,Dan Zhu (丹朱) 丹朱,Dan Zhu 丹朱
Q70942,Xiang Tu  (林氏前姓黄帝后代第7世),Xiang Tu
Q70987,Chang Ruo  (林氏前姓黄帝后代第8世),Chang Ruo
Q71024,Cao Yu  (林氏前姓黄帝后代第9世),Cao Yu
Q71064,Ming  (林氏前姓黄帝后代第10世),Ming
Q71127,Wang Hai  (林氏前姓黄帝后代第11世),Wang Hai
Q71160,Jia Wei  (林氏前姓黄帝后代第12世),Jia Wei
Q71202,Bao Yi  (林氏前姓黄帝后代第13世),Bao Yi
Q71253,Bao Bing  (林氏前姓黄帝后代第14世),Bao Bing
Q71292,Bao Ding  (林氏前姓黄帝后代第15世),Bao Ding
Q71347,Zhu Ren  (林氏前姓黄帝后代第16世),Zhu Ren
Q72247,Bi Gan (比干)  子姓,Bi Gan 子姓
Q72328,King Zhou (受德 紂)  of Shang (子姓),King Zhou of Shang
Q72631,Zhongyong (仲雍)  of Wu (姬),Zhongyong of Wu
Q74292,"躍  Chén Lì Gōng Yuè, 陳厲公躍, 52,44,11G: 14th Ruler of Tan State (Guī Yuè 嬀躍)","躍 Chén Lì Gōng Yuè, 陳厲公躍, 52,44,11G: 14th Ruler of Tan State"
Q76067,"Progenitor of Fú (符) Gōng Yǎ, 公雅 (姬慶), 1世  姬","Progenitor of Fú Gōng Yǎ, 公雅, 1世 姬"
Q76582,历(厉)公 Lì (Lì) Gōng  LÀI 赖,历公 Lì (Lì) Gōng LÀI 赖
Q79206,He (陳何)  CHEN,He CHEN
