id,translation,label_en
Q13523, daughter of Kira Nagauji (wife of Ueno Yoshiari), Ji Liang Chang Shi Noniang (shang Ye Yi You Noshi)
Q13531, daughter of Ashikaga Yasuuji (wife of Kira Mitsuuji), Zu Li Tai Shi Noniang (ji Liang Man Shi Noqi)
Q13538, daughter of Chiba Yasutane (wife of Chiba Yoritane), Qian Xie Tai Yin Noniang (qian Xie Lai Yin Noshi)
Q13561, daughter of Ike Yasukiyo (Wife of Sahara Akitsune), Chi Bao Qing Noniang (zuo Yuan Ming Lian Noqi)
Q13563, Daughter of Sahara Akitsune (wife of Nagao Kagenari), Zuo Yuan Ming Lian Noniang (chang Wei Jing Wei Nozheng Shi)
Q13568, Daughter of Hojo Sadatoki (wife of Hojo Muramoto), Bei Tiao Zhen Shi Noniang (bei Tiao Shi Shi Nozheng Shi)
Q13575, Daughter of Horiguchi Sadamitsu (wife of Nagayama Yoriki), Ku Kou Zhen Man Noniang (chang Shan Lai Ji Noshi)
Q13577, Daughter of Nagayama Yoriki (wife of Isshiki Naoji), Chang Shan Lai Ji Noniang (yi Se Zhi Shi Noqi)
Q13580, Daughter of Keiichi (wife of Kazanin Muramoto), Hui Yi Noniang (hua Shan Yuan Shi Xin Noqi)
Q13586, Daughter of Fujiwara no Kinmasa (wife of Nakamikado Tsunetoki), Teng Yuan Gong Ya Noniang (zhong Yu Men Jing Ren Noqi)
Q13593, Ogasawara Nagachika (Founder of the Iwami Ogasawara clan), Xiao Li Yuan Chang Qin (shi Jian Xiao Li Yuan Shi Chu Dai)
Q13597, Nanbu Masayuki (Kamakura period), Nan Bu Zheng Xing (lian Cang Shi Dai)
Q13598, Nanbu Masamitsu (Fourth head of the Sannohe Nanbu clan), Nan Bu Zheng Guang (san Hu Nan Bu Shi 4dai)
Q13610, Daughter of Chiba Yasutane (wife of Hojo Akitoki), Qian Xie Tai Yin Noniang (bei Tiao Xian Shi Noqi)
Q13616, Nagao Kagetada (Shiro), Chang Wei Jing Zhong (si Lang)
Q13624, Muneki Sasaki (Fushina),Zuo mu Zong Qing (bu Zhi Na)
Q13633, Daughter of Minamoto no Nakaaki (wife of Taira no Norisuke), Yuan Zhong Zhang Noniang (ping Fan Fu Noqi)
Q13642, Daughter of Otsuki no Takamoto (wife of King Kenkei), Xiao Gui Long Zhi Noniang (xian Jing Wang Noqi)
Q13643, Daughter of Otsuki no Kunimune (wife of King Kenkei), Xiao Gui Guo Zong Noniang (xian Jing Wang Noqi)
Q13650, Fujiwara no Tsunetada (son of Fujiwara no Huaikei), Teng Yuan Jing Yin (teng Yuan Huai Jing Nozi)
Q13663, Fujiwara no Tadamoto (Kamakura period), Teng Yuan Zhong Ji (lian Cang Shi Dai)
Q13664, Daughter of Fujiwara no Sadasuke (wife of Anenokoji Saneyo), Teng Yuan Ding Fu Noniang (zi Xiao Lu Shi Shi Noqi)
Q13667, Nasu Sukeyuki (3rd head of the family), Na Xu Zi Zhi (3rd generation Dang Zhu)
Q13670, Anpo Sanemitsu's daughter (Yuki Tomohiro's wife), An Bao Shi Guang Noniang (jie Cheng Zhao Guang Nozheng Shi)
Q13675, Yamakawa Shigemitsu's daughter (Adachi Muneaki's wife), Shan He Zhong Guang Noniang (an Da Zong Xian Noqi)
Q13676, Sanjo Sanehira's daughter (Emperor Kameyama's chamberlain), San Tiao Shi Ping Nonu (gui Shan Tian Huang Nodian Shi)
Q13677, Sanjo Sanehira's daughter (Fujiwara Ierinichi's mother), San Tiao Shi Ping Noniang (teng Yuan Jia Lun Nomu) )
Q13681, daughter of Hino Sukezane (wife of Takatsukasa Ihei), Ri Ye Zi Shi Noniang (ying Si Yi Ping Noqi)
Q13682, adopted daughter of Nakain Michinari? (wife of Oimikado Fuyutada?), Zhong Yuan Tong Cheng Noyang Nu? (da Chui Yu Men Dong Zhong Noshi?)
Q13683, adopted daughter of Fujiwara Sukeki (wife of Oimikado Fuyutada), Teng Yuan Zi Ji Noyang Nu (da Chui Yu Men Dong Zhong Noshi)
Q13686, daughter of Anenokoji Saneyo (wife of Ogura Kimio), Zi Xiao Lu Shi Shi Noniang (xiao Cang Gong Xiong Noshi)
Q13687, daughter of Anenokoji Saneyo (wife of Nakayama Motomasa), Zi Xiao Lu Shi Shi Noniang (zhong Shan Ji Ya Noqi) )
Q13693, Daughter of Usa Daigūji Kinmichi (wife of Fujiwara no Sanemochi), Yu Zuo Da Gong Si Gong Tong Noniang (teng Yuan Shi Chi Noqi )
Q13699, Daughter of Sono Motoaki (wife of Kuga Nagamichi), Yuan Ji Xian Noniang (jiu Wo Chang Tong Noqi )
Q13701, Daughter of Shigenoi Kinmitsu (wife of Ichijō's family), Zi Ye Jing Gong Guang Noniang (yi Tiao Shi Jia Noqi )
Q13708, Daughter of Taira Nobushige (wife of Fujiwara no Noritsugu), Ping Xin Fan Noniang (teng Yuan Fan Ji Noqi )
Q13720, Daughter of Kamo Ujihisa (wife of Nijō Tameyo), He Mao Shi Jiu Noniang (er Tiao Wei Shi Nozheng Shi )
Q13737, Daughter of Konoe Kanetsune (Wife of Kinugasa Tsunehira), Jin Wei Jian Jing Noniang (yi Li Jing Ping Noshi)
Q13738, Daughter of Konoe Kanetsune (Wife of Konoe Motohira), Jin Wei Jian Jing Noniang (jin Wei Ji Ping Noshi)
Q13739, Daughter of Taira Chikatsugu (Wife of Takatsukasa Kanehira), Ping Qin Ji Noniang (ying Si Jian Ping Noqi)
Q13740, Daughter of Hamuro Mitsutoshi (Wife of Takatsukasa Kanehira), Xie Shi Guang Jun Noniang (ying Si Jian Ping Noqi)
Q13743, Daughter of Kinugasa Tsunehira (Wife of Takatsukasa Mototada), Yi Li Jing Ping Noniang (ying Si Ji Zhong Noshi)
Q13746, Daughter of Shirakawa Yukisuke (Wife of Tsukinowa Yoshimoto), Bai Chuan Xing Zi Wang Noniang (yue Lun Liang Ji Noqi)
Q13759, daughter of Yoshida Tsunetoshi (wife of Horikawa Tomomori), Ji Tian Jing Jun Noniang (ku Chuan Ju Shou Noshi)
Q13760, daughter of Yoshida Tsunetoshi (wife of Masagimachi Sanjo Sanenaka), Ji Tian Jing Jun Noniang (zheng Qin Ting San Tiao Shi Zhong Noqi)
Q13763, daughter of Yoshida Tsunetoshi (wife of Yoshida Tsunefuji), Ji Tian Jing Jun Noniang (ji Tian Jing Teng Noqi)
Q13767, Hamuro Sadatsugu (son of Hamuro Sadatsugu), Xie Shi Ding Teng (xie Shi Ding Si Nozi)
Q13768, daughter of Hamuro Sadatsugu (wife of Yoshida Tsunenaga), Xie Shi Ding Si Noniang (ji Tian Jing Chang Noshi) )
Q13775, Daughter of Itsutsuji Tadatsugu (wife of Kitabatake Moshige), Wu Sip Zhong Ji Noniang (bei Cen Shi Zhong Noqi)
Q13778, Grand Minister of State (daughter of Kitabatake Moshige), Da Na Yan Dian Shi (bei Cen Shi Zhong Noniang)
Q13780, Daughter of Kitabatake Moshige (concubine of Prince Morinaga), Bei Cen Shi Zhong Noniang (hu Liang Qin Wang Noqie)
Q13788, Ogura Tokiko (wife of Toin Saneyasu), Xiao Cang Ji Zi (dong Yuan Shi Tai Noqi)
Q13790, Daughter of Taira Chikatsugu (wife of Toin Kinmori), Ping Qin Ji Noniang (dong Yuan Gong Shou Noqi)
Q13791, Takashina (wife of Toin Kinmori), Gao Jie Shi (dong Yuan Gong Shou Noqi)
Q13792, Daughter of Hojo Hisatoki (wife of Toin Kinnosuke), Bei Tiao Jiu Shi Noniang (dong Yuan Gong Shou Noqi)
Q13795, Daughter of Toin Kinnosuke (wife of Sanjo Saneshige), Dong Yuan Gong Shou Noniang (san Tiao Shi Zhong Noshi)
Q13800, Daughter of Takatsukasa Mototada (wife of Konoe Kanenori), Ying Si Ji Zhong Noniang (jin Wei Jian Jiao Noshi)
Q13803, Daughter of Yotsutsuji Kinshige (wife of Fujiwara Sanetora), Si Sip Gong Zhong Noniang (teng Yuan Shi Lian Noqi)
Q13814, Daughter of Gokakodono (daughter of Sanjo Kinchika), Yu Xia Dian (san Tiao Gong Qin Nonu) )
Q13815, Daughter of Sanjo Kinchika (wife of Minamoto no Hikohito), San Tiao Gong Qin Noniang (yuan Yan Ren Noqi)
Q13816, Daughter of Sanjo Kinchika (court lady of Emperor Kameyama), San Tiao Gong Qin Nonu (gui Shan Tian Huang Nogong Ren)
Q13826, Daughter of Masayoshi Sanjo Sanetomo (court lady-in-waiting of Emperor Kameyama), Zheng Qin Ting San Tiao Shi Ren Noniang (gui Shan Tian Huang Nodian Shi)
Q13827, Shuai Ju (gui Shan Tian Huang Nohou Gong),
Q13832, Fifth Princess of Emperor Kameyama (wife of Kujo Shigenori), Gui Shan Tian Huang Nodi Wu Huang Nu (jiu Tiao Shi Jiao Nozheng Shi)
Q13834, Empress Dowager (Emperor Kameyama's daughter), Bei Zheng Suo (gui Shan Tian Huang Nohuang Nu)
Q13844, Taira Nobushige's daughter (wife of Jimyoin Motomori), Ping Xin Fan Noniang (chi Ming Yuan Ji Sheng Noqi)
Q13852, Miko Sadari Tameo's daughter (wife of Horikawa Tomomori), Yu Zi Zuo Wei Xiong Noniang (ku Chuan Ju Shou Noqi)
Q13855, Fujiwara Takako (wife of Saionji Sanekane), Teng Yuan Xiao Zi (xi Yuan Si Shi Jian Noqi)
Q13861, Hashimoto Sanetoshi's daughter (wife of Sono Motofuji), Qiao Ben Shi Jun Noniang (yuan Ji Teng Noqi)
Q13862, Hashimoto Sanetoshi's daughter (wife of Rokujo Aritada), Qiao Ben Shi Jun Noniang (liu Tiao You Zhong) Noqi)
Q13865, daughter of Tokudaiji Sanetaka (wife of Toin Saneyo), De Da Si Shi Xiao Noniang (dong Yuan Shi Shi Noqi)
Q13867, daughter of Fujiwara Shigemichi (harem of Emperor Fushimi), Teng Yuan Mao Tong Noniang (fu Jian Tian Huang Nohou Gong)
Q13868, daughter of Fujiwara Shigemichi (wife of Masagimachi Sanjo Sanetoshi), Teng Yuan Mao Tong Noniang (zheng Qin Ting San Tiao Shi Ren Noqi)
Q13875, daughter of Yoshida Tsunenaga (wife of Oinomikado Fuyuuji), Ji Tian Jing Chang Noniang (da Chui Yu Men Dong Shi Noshi)
Q13876, daughter of Heisei Shun (wife of Fujiwara Sukeuji), Ping Cheng Jun Noniang (teng Yuan Zi Shi Noshi) )
Q13877, Fujiwara no Suketaka (Michinori lineage), Teng Yuan Zi Gao (dao Gang Liu)
Q13880, Daughter of Shukube Narishige (wife of Fujiwara no Chikatoshi), Zhu Bu Cheng Mao Noniang (teng Yuan Qin Jun Noqi)
Q13889, Fujiwara no Kaneko (wife of Saionji Kinhira), Teng Yuan Jian Zi (xi Yuan Si Gong Heng Noqi)
Q13894, Daughter of Nakamikado Tamekata (wife of Kazanin Iesada), Zhong Yu Men Wei Fang Noniang (hua Shan Yuan Jia Ding Noshi)
Q13898, Daughter of Kazanin Iesada (wife of Konoe Tsunetada), Hua Shan Yuan Jia Ding Noniang (jin Wei Jing Zhong Nozheng Shi)
Q13908, Daughter of Kuga Michio (Wife of Saionji Kihō), Jiu Wo Tong Xiong Noniang (xi Yuan Si Ji Heng Noqi)
Q13909, Daughter of Sono Motofuji (wife of Rokujō Aritada), Yuan Ji Teng Noniang (liu Tiao You Zhong Nozheng Shi)
Q13999, Kaga no Tsubone (wife of Kanshuji Michihiro), Jia He Ju (quan Xiu Si Dao Hong Nozheng Shi)
Q14016, Adopted daughter of Ashikaga Yoshiuji (wife of Satake Yoshishige), Zu Li Yi Shi Noyang Nu (zuo Zhu Yi Zhong Noshi)
Q14031, Daughter of Horiguchi Sadayoshi? (Emperor Godaigo's concubine?), Ku Kou Zhen Yi Nonu? (hou Ti Hu Tian Huang Nohou Gong?nu Yu?)
Q14035, Daughter of Hojo Akitoki (wife of Chiba Tanemune), Bei Tiao Xian Shi Noniang (qian Xie Yin Zong Noshi)
Q14041, Daughter of Nikaido Yukiaki (wife of Sasaki Yoritsuna), Er Jie Tang Xing Zhang Noniang (zuo mu Lai Gang Noshi)
Q14047, daughter of Sasaki Munetsuna (wife of Sasaki Muneshige), zuo mu Zong Gang Noniang (zuo mu Zong Shi Noshi)
Q14050, daughter of Hino Toshimitsu (wife of Kazanin Iemasa), Ri Ye Jun Guang Noniang (hua Shan Yuan Jia Ya Noqi)
Q14052, daughter of Nijō Morotada (concubine of Nijō Michihira), Er Tiao Shi Zhong Noniang (er Tiao Dao Ping Noce Shi)
Q14059, daughter of Nijō Kanemoto (wife of Prince Tadafusa), Er Tiao Jian Ji Noniang (zhong Fang Qin Wang Noqi)
Q14061, daughter of Fujiwara Chikanari (wife of Ichijō Ietsune), Teng Yuan Qin Cheng Noniang (yi Tiao Jia Jing) Noqi)
Q14070, Daughter of Imagawa Kuniuji (wife of Isshiki Kinfu), Jin Chuan Guo Shi Niang (yi Se Gong Shen Shi)
Q14073, Daughter of Imagawa Kuniuji (wife of Nagoshi Takaie), Jin Chuan Guo Shi Noniang (ming Yue Gao Jia Nozheng Shi)
Q14084, Daughter of Chiba Munetane (wife of Utsunomiya Kintsuna), Qian Xie Zong Yin Noniang (yu Du Gong Gong Gang Noqi)
Q14085, Daughter of Chiba Munetane (wife of Ishii Tadanari), Qian Xie Zong Yin Noniang (shi Jing Zhong Cheng Noqi)
Q14115, Nagao Kagetada (left guard), Chang Wei Jing Zhong (zuo Wei Men Wei)
Q14117, Daughter of Adachi Tokiaki (Hojo Takatoki's wife), An Da Shi Xian Noniang (bei Tiao Gao Shi Nozheng Shi)
Q14121, Toki Yoriyasu's daughter (Nijo Yoshimoto's wife), Tu Qi Lai Kang Noniang (er Tiao Liang Ji Noshi)
Q14122, Toki Yoriyasu's daughter (Shiba Yoshitane's wife), Tu Qi Lai Kang Noniang (si Bo Yi Zhong Noqi)
Q14126, Toki Yorio's daughter (Imagawa Sadayo's wife), Tu Qi Lai Xiong Noniang (jin Chuan Zhen Shi Nozheng Shi)
Q14140, Hino Toshimitsu's daughter (Kazanin Shiken's wife), Ri Ye Jun Guang Noniang (hua Shan Yuan Shi Xian Noqi)
Q14156, Hatakeyama Kuniuji (Oshu Kanrei), Cen Shan Guo Shi (ao Zhou Guan Ling)
Q14182, Daughter of Itsutsuji Nakaen (wife of Takatsuji Kiyonaga), Wu Sip Zhong Yuan Noniang (gao Sip Qing Chang Noqi)
Q14193, Daughter of Nikaido Yukiyoshi (wife of Satake Nagayoshi), Er Jie Tang Xing Yi Noniang (zuo Zhu Chang Yi Noqi)
Q14214, Second daughter of Masagimachi Sanjo Kinunuki (wife of Masagimachi Saneaki), Zheng Qin Ting San Tiao Gong Guan Noci Nu (zheng Qin Ting Shi Ming Noshi)
Q14215, Fourth daughter of Masagimachi Sanjo Kinunuki (wife of Masagimachi Saneaki), Zheng Qin Ting San Tiao Gong Guan Nosi Nu (zheng Qin Ting Shi Ming Noshi)
Q14216, Daughter of Masagimachi Sanjo Kinunuki (Wife of Toin Kintoshi), Zheng Qin Ting San Tiao Gong Guan Noniang (dong Yuan Gong Min Noqi)
Q14222, Daughter of Nakahara Michimoto (Wife of Fujiwara no Tadaaki), Zhong Yuan Shi Yuan Noniang (teng Yuan Yin Ming Noqi)
Q14228, Daughter of Bomon Nobutsune (Mistress of Fujiwara no Munezane), Fang Men Xin Jing Noniang (teng Yuan Zong Shi Noqie)
Q14235, Daughter of Urabe Kaname (Wife of Itsutsuji Tadatsugu), Bu Bu Jian Zhi Noniang (wu Sip Zhong Ji Noqi)
Q14236, Daughter of Taira Takasuke (Wife of Itsutsuji Tadatsugu), Ping Gao Fu Noniang (wu Sip Zhong Ji Noqi)
Q14244, Daughter of Yoshida Tsunenaga (Wife of Nijō Tamefuji), Ji Tian Jing Chang Noniang (er Tiao Wei Teng Noshi)
Q14246, daughter of Nijō Tamefuji (wife of Horikawa Tomotoshi), Er Tiao Wei Teng Noniang (ku Chuan Ju Jun Noqi)
Q14252, daughter of Nagai Tokihide (legal wife of Shiba Muneshige), Chang Jing Shi Xiu Noniang (si Bo Zong Shi Nozheng Shi)
Q14253, daughter of Nagai Tokihide (mother of Utsunomiya Kintsuna), Chang Jing Shi Xiu Noniang (yu Du Gong Gong Gang Nomu)
Q14269, daughter of Ichijō Uchizane (wife of Takatsukasa Fuyunori), Yi Tiao Nei Shi Noniang (ying Si Dong Jiao Noshi)
Q14272, Lady Ichijō (fourth daughter of Masagimachi Saneaki), Yi Tiao Ju (zheng Qin Ting Shi Ming Nosi Nu) )
Q14275, Dainagon no Tsubone (Emperor Godaigo's Harem), Da Na Yan Ju (hou Ti Hu Tian Huang Nohou Gong)
Q14276, Taigo no Tsubone (Emperor Kogon's Harem), Dui Yu Fang (guang Yan Tian Huang Nohou Gong)
Q14282, Taira no Narimitsu's Daughter (Yoshida Tsunetoshi's Wife), Ping Ye Guang Noniang (ji Tian Jing Jun Noqi)
Q14291, Kasuga no Tsubone (Emperor Fushimi's Court Lady), Chun Ri Ju (fu Jian Tian Huang Nogong Ren)
Q14297, Kitabatake no Chikafusa's Daughter (Prince Morinaga's Wife), Bei Cen Qin Fang Noniang (hu Liang Qin Wang Nozheng Shi)
Q14311, Gon Chunagon no Tsubone (Provisional Chunagon's Daughter), Quan Zhong Na Yan Ju (dong Yuan Gong Tai) Noniang)
Q14312, Daughter of Yoshida Sadafusa (Emperor Godaigo's harem), Ji Tian Ding Fang Nonu (hou Ti Hu Tian Huang Nohou Gong)
Q14323, Daughter of Emperor Godaigo (Regent Mototsugu's wife), Hou Ti Hu Tian Huang Nohuang Nu (guan Bai Ji Si Gong Shi)
Q14326, Daughter of Yoshida Sadafusa (wife of Oimikado Fuyunobu), Ji Tian Ding Fang Noniang (da Chui Yu Men Dong Xin Noshi)
Q14334, Daughter of Ogura Saneyoshi (wife of Toin Kinkata), Xiao Cang Shi Jiao Noniang (dong Yuan Gong Xian Noqi)
Q14335, Daughter of Ogura Saneyoshi (wife of Sono Motonari), Xiao Cang Shi Jiao Noniang (yuan Ji Cheng Noqi) )
Q14336, daughter of Ogura Saneyoshi (wife of Prince Tadafusa), Xiao Cang Shi Jiao Noniang (zhong Fang Qin Wang Nofei *qi)
Q14342, Hamuro Yoriko (female attendant of Emperor Hanazono), Xie Shi Lai Zi (hua Yuan Tian Huang Nodian Shi)
Q14347, daughter of Yotsutsuji Sanekazu (wife of Nakamikado Fuyusada), Si Sip Shi Yuan Noniang (zhong Yu Men Dong Ding Noqi)
Q14365, daughter of Saionji Kinaki (wife of Ichijo Naikyo), Xi Yuan Si Gong Xian Noniang (yi Tiao Nei Jing Noshi)
Q14366, daughter of Saionji Kinaki (wife of Imadegawa Kanesaki), Xi Yuan Si Gong Xian Noniang (jin Chu Chuan Jian Ji Nozheng Shi) )
Q14371, Daughter of Tokudaiji Kinkiyo (wife of Kuga Tomomichi), De Da Si Gong Qing Noniang (jiu Wo Ju Tong Noqi)
Q14375, Masagimachi Sanjo Kintsuna (Kincho), Zheng Qin Ting San Tiao Gong Gang (gong Chang)
Q14377, Daughter of Nobumasu Hoin (wife of Yoshida Takanaga), Xin Zeng Fa Yin Noniang (ji Tian Long Chang Noqi)
Q14379, Daughter of Yoshida Takanaga (wife of Boshiro Toshizane), Ji Tian Long Chang Noniang (fang Cheng Jun Shi Noqi)
Q14384, Hamuro Yorifusa (second son of Hamuro Yorichika), Xie Shi Lai Fang (xie Shi Lai Qin Noci Nan)
Q14393, Daughter of Saionji Sanehira (wife of Oimikado Fuyunobu), Xi Yuan Si Shi Heng Noniang (da Chui Yu Men Dong Xin Noshi)
Q14396, daughter of Omiya Suehiro (wife of Kujo Dokyo), Da Gong Ji Heng Noniang (jiu Tiao Dao Jiao Nobei Zheng Suo *zheng Shi)
Q14398, daughter of Sanjo Sanetada (wife of Imadegawa Sanetada), San Tiao Shi Zhong Noniang (jin Chu Chuan Shi Yin Noshi)
Q14399, daughter of Sanjo Sanetada (wife of Kujo Tsunekyo), San Tiao Shi Zhong Noniang (jiu Tiao Jing Jiao Noshi)
Q14404, daughter of Prince Tadafusa (wife of Prince Zennin), Zhong Fang Qin Wang Noniang (quan Ren Qin Wang Noqi)
Q14409, daughter of Konoe Iemoto (wife of Konoe Kanenori), Jin Wei Jia Ji Noniang (jin Wei Jian Jiao Noqi)
Q14470, Shijo clan (wife of Bojo Sadasuke), Si Tiao Shi(fang Cheng Ding Zi Noqi)
Q14477, Minamoto no Chikafusa (son of Minamoto no Chikaie), Yuan Qin Fang (yuan Qin Jia Nozi)
Q14481, Takakura Nagayasu (son of Fujiwara no Norimasa), Gao Cang Yong Kang (teng Yuan Fan Chang Nozi)
Q14484, daughter of Nagao Kagemoto (wife of Uesugi Yorinari), Chang Wei Jing Ji Noniang (shang Shan Lai Cheng Nozheng Shi)
Q14485, Nagao Fujikage (Nanboku-cho period), Chang Wei Teng Jing (nan Bei Zhao Shi Dai)
Q14490, daughter of Uesugi Norifusa (wife of Gao Shiyasu), Shang Shan Xian Fang Noniang (gao Shi Tai Nozheng Shi)
Q14493, Uesugi Tomosada (Futatsubashi Uesugi family), Shang Shan Zhao Ding (er Qiao Shang Shan Jia)
Q14494, Daughter of Uesugi Shigeaki (wife of Uesugi Norifuji), Shang Shan Zhong Xian Noniang (shang Shan Xian Teng Noqi)
Q14507, Sōma Shitane (Mutsu Sōma clan), Xiang Ma Shi Yin (lu Ao Xiang Ma Shi)
Q14515, Hojo Munetoki (son of Hojo Hisatoki), Bei Tiao Zong Shi (bei Tiao Jiu Shi Nozi)
Q14533, Daughter of Hino Sukena (wife of Kazanin Fuyuga), Ri Ye Zi Ming Noniang (hua Shan Yuan Dong Ya Noqi)
Q14568, Niece of Soya Noriyoshi (wife of Chiba Sadatsune), Ceng Gu Jiao Xin Nozhi (qian Xie Zhen Yin Noqi)
Q14590, Hoshun-in (Daughter of Hojo Ujitsuna), Fang Chun Yuan (bei Tiao Shi Gang Noniang)
Q14599, Daughter of Nagao Kageyoshi (wife of Yamayoshi Nagahisa), Chang Wei Jing Neng Noniang (shan Ji Chang Jiu Nozheng Shi)
Q14600, Daughter of Yamayoshi Nagahisa (wife of Nagao Kageharu), Shan Ji Chang Jiu Noniang (chang Wei Jing Qing Nozheng Shi)
Q14602, Daughter of Nagao Fujikage? (wife of Nagao Kagetada), Chang Wei Teng Jing Noniang? (chang Wei Jing Zhong Nozheng Shi)
Q14603, Nagao Kageyuki (Nanboku-cho period), Chang Wei Jing Xing (nan Bei Zhao Shi Dai)
Q14604, Nagao Kagenao (son of Nagao Kagetada), Chang Wei Jing Zhi (chang Wei Jing Zhong Nozi)
Q14614, Daughter of Toki Yasuyuki (wife of Toki Akinao), Tu Qi Kang Xing Noniang (tu Qi Quan Zhi Noqi)
Q14616, Toki Jiketsu (guardian), Tu Qi Chi Yi (shou Hu)
Q14671, Daughter of Nikaido Yoritsuna (wife of Satake Yukiyoshi), Er Jie Tang Lai Gang Noniang (zuo Zhu Xing Yi Noshi)
Q14689, Daughter of Ogimachi Sanjo Sanemi (court lady of Emperor Komyo), Zheng Qin Ting San Tiao Shi Gong Nonu (guang Ming Tian Huang Nohou Gong *gong Ren)
Q14699 wife of Taira no Yoritsuna (wet nurse of Hojo Sadatoki), Ping Lai Gang Noqi (bei Tiao Zhen Shi Noru Mu) ),
Q14704, Daughter of Urabe Kaname (wife of Itsuji Tsuneuji), Bu Bu Jian Zhi Noniang (wu Sip Jing Shi Noqi)
Q14728, Daughter of Fujiwara Fuyukane (wife of Masagimachi Tadaki), Teng Yuan Dong Jian Noniang (zheng Qin Ting Zhong Ji Noqi)
Q14736, Daughter of Nakamikado Tsunenobu (wife of Ichijo Saneza), Zhong Yu Men Jing Xuan Noniang (yi Tiao Shi Cai Noqi)
Q14738, Daughter of Sanjo Kinmei (wife of Masagimachi Sanjo Sanetsugu), San Tiao Gong Ming Noniang (zheng Qin Ting San Tiao Shi Ji Noshi)
Q14743, Lady Kasuga (mother of Kitabatake Akinobu), Chun Ri Ju (bei Cen Xian Xin Nomu) )
Q14746, Daughter of Kazanin Sadanori (wife of Prince Kuniyoshi), Hua Shan Yuan Ding Jiao Noniang (bang Liang Qin Wang Nofei)
Q14769, Adopted daughter of Prince Hisayoshi (wife of Konoe Michitsugu), Jiu Liang Qin Wang Noyang Nu (jin Wei Dao Si Noqi)
Q14771, Daughter of Masagimachi Sanjo Kinhide (wife of Yotsutsuji Sanesato), Zheng Qin Ting San Tiao Gong Xiu Noniang (si Sip Shi Xiang Noqi)
Q14782, Daughter of Nakahara Michishige (wife of Sugawara Tamenaga), Zhong Yuan Shi Mao Noniang (jian Yuan Wei Chang Noqi)
Q14789, Adopted daughter of Toin Sanekata (wife of Takatsuka Fuyumichi), Dong Yuan Shi Xia Noyang Nu (ying Si Dong Tong Noshi) )
Q14791, Adopted daughter of Toin Sanekata (wife of Konoe Michitsugu), Dong Yuan Shi Xia Noyang Nu (jin Wei Dao Si Nozheng Shi)
Q14794, Daughter of Ichijo Tsunemichi (wife of Jyoari), Yi Tiao Jing Tong Noniang (jing You Noqi)
Q14800, Daughter of Oimikado Fuyuuji (harem of Emperor Kogon), Da Chui Yu Men Dong Shi Noniang (guang Yan Tian Huang Nohou Gong)
Q14879, Uesugi Akisada (Ogigayatsu Uesugi clan), Shang Shan Xian Ding (shan Gu Shang Shan Jia)
Q14886, Daughter of Uesugi Noriaki (wife of Iwamatsu Naokuni), Shang Shan Xian Xian Noniang (yan Song Zhi Guo Noshi)
